Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Marcatura dell'inferenza;Filler, riempimento dei tempi di formulazione;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti
PTB009;#507;doc#0;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB009&begin=149817&end=150779;149817;150779;TOR001;PTB009;00:47:05;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB009.html;https://search.corpuskiparla.it/corpus/conversations/PTB009_jefferson.html;26-30;F;TO;4;intell;sì;asimmetrico;lombardia;intervista semistrutturata;phd;di~ gli diremo di // o facciamo noi una pausa cioè non voglio // di aspettare un a~ // tenervi prigionieri // no tanto poi //;dunque;// in quale quartiere di torino vivevi? // eh io vivevo da bambina fino alla guerra // abbiamo vissuto in corso re umberto;;;;;1;;1;;;;;;;;;1;;;;;;;;;;;;;1;;
PTB009;#3966;doc#0;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB009&begin=1233252&end=1234668;1233252;1234668;TOI035;PTB009;00:47:05;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB009.html;https://search.corpuskiparla.it/corpus/conversations/PTB009_jefferson.html;over 85;F;TO;4;pens;sì;asimmetrico;piemonte;intervista semistrutturata;dip_lic;la // eh beh sicuramente // mh mh mh mh // eh che impressione hai avuto di questo cambiamento del quartiere? // xx // ma;dunque;diciamo // la fiat ha fatto arrivare tutti questi meridionali che ne aveva bisogno // certo // e ha suscitato;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;0;;
PBB012;#32338;doc#5;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB012&begin=675244&end=680084;675244;680084;BOI039;PBB012;00:49:50;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB012.html;https://search.corpuskiparla.it/corpus/conversations/PBB012_jefferson.html;51-55;M;BO;3;comm;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea;// insomma nelle camere a gas mentre // arpad fu portato in un campo di // di lavoro // e // resistette fino a la fine del //;dunque;dal gennaio del quarantadue poco prima della liberazione da parte dei russi del campo // ecco // ah // ah // e tutto questo;;;;;1;;;;;;;;;;;;;;1;;;;1;;;;;;1;;In molti dei casi che ho etichettato come riformulazione, si tratta più propriamente di cambio di pianificazione
PBB012;#38244;doc#5;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB012&begin=2924535&end=2926845;2924535;2926845;BOI039;PBB012;00:49:50;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB012.html;https://search.corpuskiparla.it/corpus/conversations/PBB012_jefferson.html;51-55;M;BO;3;comm;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea;la fine ecco // quale sarebbe stata la fine // mh // eh dov''è che sono conservate le lettere ha detto? ah ok // le lettere;dunque;sono a al museo ebraico // qua di bologna // sì // e so che // le hanno usate per // le hanno portate anche // in altri musei in;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;0;;
BOD1003;#71520;doc#11;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1003&begin=925468&end=927531;925468;927531;BO092;BOD1003;01:24:11;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD1003.html;https://search.corpuskiparla.it/corpus/conversations/BOD1003_jefferson.html;61-65;M;BO;1;intell;no;asimmetrico;emilia-romagna;lezione;phd;anziché far del casino faceva una semplificazione incredibile di tutto // allora qual è il vantaggio? //;dunque;immaginatevi che // noi // per definire un dado abbiam bisogno dell'' oggetto fisico comunque abbiam bisogno di sei;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;0;;
BOD1003;#73842;doc#11;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1003&begin=1900725&end=1903448;1900725;1903448;BO092;BOD1003;01:24:11;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD1003.html;https://search.corpuskiparla.it/corpus/conversations/BOD1003_jefferson.html;61-65;M;BO;1;intell;no;asimmetrico;emilia-romagna;lezione;phd;le uscite dei singoli dadi // questo è come se fosse le uscite tra tutte le facce comprese tra zero e ics del dado // eh //;dunque;è scritta così // in verticale // vedete dei valori complementi a zero e tre // in orizzontale ci sono i i centesimi e cioé;;;;;1;1;;;;;;;;;;;;;;;;;1;;;;;;0;;
BOD1003;#74372;doc#11;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1003&begin=2294839&end=2301866;2294839;2301866;BO092;BOD1003;01:24:11;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD1003.html;https://search.corpuskiparla.it/corpus/conversations/BOD1003_jefferson.html;61-65;M;BO;1;intell;no;asimmetrico;emilia-romagna;lezione;phd;// allora // m avete problemi su questo? // no avete le tabelle avete tutto adesso le tiro fuori anch'' io le tabelle così //;dunque;a partir dalla tabella bisogna mh dobbiamo imparare a usar la tabella quindi adesso io // no no non ho bisogno di questo;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;0;;
BOD1003;#76150;doc#11;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1003&begin=3373223&end=3377267;3373223;3377267;BO092;BOD1003;01:24:11;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD1003.html;https://search.corpuskiparla.it/corpus/conversations/BOD1003_jefferson.html;61-65;M;BO;1;intell;no;asimmetrico;emilia-romagna;lezione;phd;l'' inquinamento è la stessa cosa // sui problemi pratici ci arriviamo però // un pochino di manualità sulla tabella;dunque;vediamo ehm // qual è la probabilità di avere dei valori che siano // superiori al doppio della deviazione standard cioè;;;;;1;1;;;;;;;;;;1;;;;;;;;;;;;;0;;
PTB002;#84739;doc#13;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB002&begin=1113330&end=1116145;1113330;1116145;TOI017;PTB002;01:27:40;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB002.html;https://search.corpuskiparla.it/corpus/conversations/PTB002_jefferson.html;over 85;M;TO;3;pens;sì;asimmetrico;puglia;intervista semistrutturata;elem;// e allora io gli avevo detto ma // come mai ti trovi per fare questo lavoro qua? // e fa perché mio papà noi eh // noi;dunque;torniamo un po'' indietro // io ero all''ospedale militare // mh // partendo da~ dalla piazza adesso non mi ricordo come si;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;0;;
PTB002;#85436;doc#13;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB002&begin=1368822&end=1377748;1368822;1377748;TOI017;PTB002;01:27:40;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB002.html;https://search.corpuskiparla.it/corpus/conversations/PTB002_jefferson.html;over 85;M;TO;3;pens;sì;asimmetrico;puglia;intervista semistrutturata;elem;quello che volevano loro // sì non ti // le pulizie negli uffici // eh // eh // sono andato una settimana due settimane //;dunque;mi sono congedato il ventisette di novembre del m~ del mille novecento n~ n~ n~ novantadue mi sembra // pensa // ma no che;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;0;;
