Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Marcatura dell'inferenza;Filler, riempimento dei tempi di formulazione;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti
TOA3012;#9557;doc#1;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3012&begin=200488&end=202036;200488;202036;TO090;TOA3012;18:02:00;libero;https://search.corpuskiparla.it/corpus/conversations/TOA3012.html;https://search.corpuskiparla.it/corpus/conversations/TOA3012_jefferson.html;21-25;F;TO;4;stud;no;simmetrico;piemonte;conversazione libera;laurea in corso;classico? // solo il luogo // liceo giacomo leopardi // no la città la città // torino // torino // vabbè adesso;sai;anche il mio liceo // vabbè va bene // ben venga // anch'' io scriverà il mio liceo xxx // vai così non mi fai sembrare stupid;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB023;#18284;doc#2;2023;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB023&begin=1510907&end=1516620;1510907;1516620;BOI087;PBB023;00:33:46;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB023.html;https://search.corpuskiparla.it/corpus/conversations/PBB023_jefferson.html;51-55;M;BO;4;uff;sì;asimmetrico;emilia-romagna;intervista semistrutturata;dip_tec_prof;la preparazione invernale a san luca e dovevamo fare i portici entro i quattordici minuti // io no // mamma mia // tu non;sai;quante volte ho vomitato io arrivato su perchè ti assicuro quattordici minuti son pochissimi // // son veramente;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PTB019;#52963;doc#9;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB019&begin=1076355&end=1078677;1076355;1078677;TOI080;PTB019;00:43:39;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB019.html;https://search.corpuskiparla.it/corpus/conversations/PTB019_jefferson.html;76-80;M;TO;3;pens;sì;asimmetrico;puglia;intervista semistrutturata;dip_tec_prof;vita qui al nord? // beh io da ragazzino sì // sì? // perché // perché li avevo diciamo // fino a dodici tredici anni //;sai;coi ragazzini ti diverti ti fai // qua eh // avevi l''amicizia // dopo // quando sono andato a scuola // le medie le ho fatte;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;0;;
PTB019;#57563;doc#9;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB019&begin=2437868&end=2439108;2437868;2439108;TOI071;PTB019;00:43:39;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB019.html;https://search.corpuskiparla.it/corpus/conversations/PTB019_jefferson.html;66-70;F;TO;3;pens;sì;asimmetrico;puglia;intervista semistrutturata;dip_lic;di no // sempre italiano // qualche parola sì // penso qualche parola ma noneh // ma non l''hanno mai parlato // ma sì ma lo;sai;tu? // eh te lo dico io? // ma sì insieme con gli amici esce fuori giulia esce fuori qualche parola piemontese // e il;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBA004;#59370;doc#10;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=402820&end=403450;402820;403450;BOR018;PBA004;00:57:15;fisso;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;F;BO;4;stud;sì;asimmetrico;calabria;intervista semistrutturata;laurea in corso;dipende dalle tipologie // e e misurano le temperature dei mh // diciamo delle ruote e dei freni dei treni // lo;sai;che // che siano merci o passeggeri // sai che avevo un amico che faceva un lavoro simile quin~ non~ cioè non mi è nuova come;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PTB002;#84323;doc#13;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB002&begin=971219&end=976063;971219;976063;TOI017;PTB002;01:27:40;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB002.html;https://search.corpuskiparla.it/corpus/conversations/PTB002_jefferson.html;over 85;M;TO;3;pens;sì;asimmetrico;puglia;intervista semistrutturata;elem;una ragazza // ti metteva no per carità // non si poteva // eh chi è che ti diceva ma magari // se non // oh ma quella eh quella;sai;è uscita con quello là questa ragazza perdeva tutto // eh sì poverina certo // eh niente allora niente // volevo ballare;;;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;0;;"cumulo: ""ma sai""; ""ma"" non c'è in trascrizione"
TOA3005;#97544;doc#14;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3005&begin=471513&end=474393;471513;474393;T0032;TOA3005;00:31:26;libero;https://search.corpuskiparla.it/corpus/conversations/TOA3005.html;https://search.corpuskiparla.it/corpus/conversations/TOA3005_jefferson.html;21-25;M;TO;2;stud;no;simmetrico;piemonte;conversazione libera;laurea in corso;ieri non è stata apprezzata abbastanza // perché? // che mondo di xxx // solo venti likes // un mondo di ingoranza sarà che;sai;come xxx // no eh allora posso dirti una cosa? dipende anche all'' ora in cui lo metti l'' ho messa ieri alle tre e tre non è un'';1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBC005;#108935;doc#15;2021;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC005&begin=2925835&end=2929205;2925835;2929205;BOI014;PBC005;01:01:27;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC005.html;https://search.corpuskiparla.it/corpus/conversations/PBC005_jefferson.html;76-80;F;BO;2;pens;sì;asimmetrico;emilia-romagna;intervista semistrutturata;dip_lic;// ma va là // sì // anche avevano // tante poi avevano una scala mobile anomala // anomala // la scala mobile lo;sai;che è quel meccanismo che // eh // permette a agli stipendi di adeguarsi al costo della vita // adesso e'' tale che è;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB033;#112166;doc#17;2024;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB033&begin=51330&end=59006;51330;59006;BOI119;PBB033;00:48:35;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB033.html;https://search.corpuskiparla.it/corpus/conversations/PBB033_jefferson.html;71-75;M;BO;2;intell;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea;è un p~ quartiere molto popoloso // mhmh // e invece come persone come si è trovato con gli abitanti di borgo panigale // ma;sai;io poi abitavo mh a casteldebole esattamente che era praticamente un paesino di borgo panigale e faceva // mhmh // ah sì;;;;;1;1;1;;;;;;1;;;;;;;;;;;;;;;;1;;"cumulo: ""ma sai"" Colonna per indicare i cumuli?"
PBB033;#115057;doc#17;2024;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB033&begin=974939&end=979573;974939;979573;BOI119;PBB033;00:48:35;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB033.html;https://search.corpuskiparla.it/corpus/conversations/PBB033_jefferson.html;71-75;M;BO;2;intell;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea;tantissimi trenini effettivamente o bus eh // sì sì ce n''è uno che va anche a san luca // mh // e me l''han detto alcuni tu li;sai;oddio? ospiti stranieri anche // m''hanno detto che // sì // eh sono stati a san luca col trenino // no sicuramente è una;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB033;#118204;doc#17;2024;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB033&begin=2016398&end=2021256;2016398;2021256;BOI119;PBB033;00:48:35;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB033.html;https://search.corpuskiparla.it/corpus/conversations/PBB033_jefferson.html;71-75;M;BO;2;intell;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea;mangiavamo dove andavano a mangiare gli artisti che facevano teatro al duse // mh sì // stavamo insieme alla notte loro;sai;ci siam divertiti un sacco cantavamo insieme // perché questa era la vita che facevamo a bologna // di notte eh era;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;0;;
PBB033;#118887;doc#17;2024;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB033&begin=2252816&end=2258190;2252816;2258190;BOI119;PBB033;00:48:35;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB033.html;https://search.corpuskiparla.it/corpus/conversations/PBB033_jefferson.html;71-75;M;BO;2;intell;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea;// sì sì sì // eh il rapporto che avevano una volta i bolognesi e che hanno ancora insomma // no no infatti secondo me // ma;sai;di bolognesi doc ce ne sono pochi anc~ ormai cioè non lo so perché sai // sì a bologna sinceramente ci sono più magari;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;0;;
