Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti
KPS004;#2516;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=824146&end=825146;824146;825146;PKP034;KPS004;02:02:15;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;;pens;;;puglia;dip_tec_prof;3;pasto;// io acqua e birra // no dico la frittata te l''ha data alessandra? // no // ecco sennò // quella io non la voglio // ho;capito;allora // mh // xxxxxxx // cosa ha detto la giuli? // che sta p~ s''è preparata // metti un go~ un xxx di vino che non sembri che;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
KPS004;#2790;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=899266&end=900907;899266;900907;PKP034;KPS004;02:02:15;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;;pens;;;puglia;dip_tec_prof;3;pasto;la mia // allo'' xxxxx // xx prendo due cose // vuoi due altre rape no xx son troppe // no o sì? // quando dici no sì non ho;capito;// questo fatto che sa di prezzemolo mh è particolare // buona? // t''ho insegnato una cosa // mhmh // dammi quella cosa lì;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
KPS004;#3149;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=992870&end=1001724;992870;1001724;PKP034;KPS004;02:02:15;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;;pens;;;puglia;dip_tec_prof;3;pasto;eh devi è è il lavoro è un labo~ è un lavoro figlia mia no devi stare attenta eh perchè se no escono fuori come bro~ come latte;capito?;se tu non stai att~ // ma quanto tipo? // un''ora? // no di più di un''ora // due tre ore due tre ore finchè non si // mhmh // mhmh;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
KPS004;#3392;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=1063366&end=1066394;1063366;1066394;PKP033;KPS004;02:02:15;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;26-30;F;;intell;;;emilia-romagna;laurea;3;pasto;// eh bisogna cuocerlo // cuocerlo sì // è già cotto comunque // è da dopo che bisogna fare // eh // cioè l''orzo è tipo il riso;capito;al posto del riso // ma mai cucinato da queste parti l''orzo? // boh io no ma io da sola non lo faccio molto però // ma tu in;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;0;;
KPS004;#3769;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=1163788&end=1165091;1163788;1165091;PKP033;KPS004;02:02:15;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;26-30;F;;intell;;;emilia-romagna;laurea;3;pasto;// eh eh // io c''ho quello che lo macini dopo che l''hai sbrustolita // mh // perchè si faceva il caffè alla turca // sì ho;capito;sì mh // che s~ che si dà il caffè fatto lì dopo deve depositare // filtrato sì sì mh // e il disopra lo mangiavi e il sotto;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
KPS004;#7058;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=2079094&end=2083074;2079094;2083074;PKP034;KPS004;02:02:15;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;;pens;;;puglia;dip_tec_prof;3;pasto;non me la voleva dare lo stesso // e perchè non te la voleva da~ // perchè non vi siete capit~ // contrattano contrattano;capito;contrattano io ad esempio questi all''ultimo momento // mh // cioè con li con mas~ con li masai non contratti proprio;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;0;;
KPS004;#10614;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=3137520&end=3139835;3137520;3139835;PKP033;KPS004;02:02:15;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;26-30;F;;intell;;;emilia-romagna;laurea;3;pasto;// quelli che tu dicevi perchè la ci sono quelli bianchi con il coso con lo zucchero // con lo zucchero // ah okay no ho;capito;sì no questi dicevo // aspetta che li devono capire al volo quelli // allora quella giornalista che ha scritto quel libro;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
KPS004;#15909;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=4542925&end=4550173;4542925;4550173;PKP034;KPS004;02:02:15;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;;pens;;;puglia;dip_tec_prof;3;pasto;grazie a dio xxxx // i~ andiamocene via // perchè mh // cioè è una compagna di viaggio no è una che si sta a quello che dici tu;capito;non è il tipo che ti vuole dire lei // le cose // massimo del mangiare mi ricordo del mangiare c''aveva fame quindi dovevamo;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;0;;
KPS004;#21531;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=6254901&end=6259476;6254901;6259476;PKP034;KPS004;02:02:15;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;;pens;;;puglia;dip_tec_prof;3;pasto;perchè lei ha sposato nel trentanove // mia madre // aspetta fammi ricordare che che faccio che così la testa si aggiusta;capito?;// mia madre ha sposato ah no il dodici ottobre è quando ho sposato io // mia madre però io ho sposato a vent''anni lei nel;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;0;;
KPS004;#21721;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=6321126&end=6321600;6321126;6321600;PKP034;KPS004;02:02:15;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;;pens;;;puglia;dip_tec_prof;3;pasto;// il quattro agosto // mio padre prese mia madre incinta e così la portò a lecce // co~ e io nacqui a lecce // purtroppo //;capito?;// nacqui a lecce // e mio padre rimase a roma // perchè tutti i movimenti di guerra eccetera eccetera // poi mio padre per;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;0;;
