Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti
KPS004;#3550;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=1112577&end=1116759;1112577;1116759;KPS004;;02:02:15;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;;pens;;;puglia;dip_tec_prof;3;pasto;il pastore ne mangiava di meno // perchè era molto pesante a digerire // ah okay // sì sì // perchè era senza lievito //;comunque;tu non hai ha~ hai sentito problemi di digestione quando mangi l''orzo? // no no // ma eh in realtà io forse faccio di più il;;;;;1;;;;;;;;;;;1;1;;;;;;;;;;;;;1;;Non credo sia SD com'era stato annotato. Mi sembra abbia valore avversativo e sia sostituibile con ciononostante. 
KPS004;#3875;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=1188164&end=1188938;1188164;1188938;KPS004;;02:02:15;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;;pens;;;puglia;dip_tec_prof;3;pasto;// per la zuppa mischiato al latte // mh // mh cotto // sì caso mai caso mai // eh scusa cappuc~ // cappuccino d''orzo //;comunque;// beh tipo la caro da piccola lo prendeva delle volte quando eravamo in vacanza // per non bere il caffè // ma a me non mi è;;;;;1;;1;;;;;;;1;;;;;;;;1;;;;;;;;0;FATICO;"Mi sembra che in questo caso il SD sia quasi fatico ed esprima una volontà di cambiare argomento perché la parlante non ha niente da dire; parafrasando ""sì, vi sto seguendo, non so che dire, ma vorrei dire qualcosa, quindi andiamo avanti"""
KPS004;#5342;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=1615363&end=1616761;1615363;1616761;KPS004;;02:02:15;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;;pens;;;puglia;dip_tec_prof;3;pasto;piccoli? // e quindi // delle scuole medie eh elementa~ no medie eh medie proprio // mh roba delle // settantacinque? //;comunque;c''ho quelle del kenya // sì ma infatti lo zio // non me lo immaginavo // eh allora eh allora e loro poi son andati hanno fatto;;;;;1;;1;;;;;;;;;1;;;;;;;;;;;;;;1;;Potrebbe avere senso differenziare introduzione o ripresa del topic da CAMBIO di topic? Mi sembrano due operazioni diverse, perché il cambio implica anche una chiusura di vecchio topic con contestuale introduzione del nuovo
PBB024;#29372;doc#1;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=1576493&end=1582026;1576493;1582026;PBB024;;00:37:15;;https://search.corpuskiparla.it/corpus/conversations/PBB024.html;https://search.corpuskiparla.it/corpus/conversations/PBB024_jefferson.html;46-50;F;;uff;;;emilia-romagna;dip_tec_prof;2;intervista semistrutturata;però // quando poi sono andata in @nomeazienda mi son resa conto che ho ho fatto bene a farlo nonostante avessi paura;comunque;perché poi un anno e mezzo // conoscevi tutti sapevi il lavoro eh // e quindi ogni tanto ci vuole un po'' di // eh // coraggio?;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;0;"Funzione Cognitiva di ""CONCESSIVITà"" o di ""IGNORARE LE PREMESSE CONTRARIE""?";"Potrebbe esprimere una controaspettativa o una deduzione/conclusione che non è corente con quanto emerso dal discorso, in linea con la natura concessiva dell'avverbio? ""Non me/te lo aspettavo/i, ma è bello LLA FINE"""
PBB024;#30060;doc#1;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=1824296&end=1826952;1824296;1826952;PBB024;;00:37:15;;https://search.corpuskiparla.it/corpus/conversations/PBB024.html;https://search.corpuskiparla.it/corpus/conversations/PBB024_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;se ne hai la possibilità // mh // o comunque // sì sì // mh un paio di volte alla settimana sì // okay bene quindi abbastanza;comunque;// sì sì sì sì sì d''inverno diciamo che // facciamo una media un po'' più // bassa perché // quando si è a casa al calduccio che;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;"Non credo sia SD come precedentemente annotato. Mi sembra sia sostituibile con  ""in ogni caso"" ""tutto sommato"" e che eliminandolo cambi il significato complessivo dell'enunciato. "
TOA3011;#33451;doc#2;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=476896&end=478113;476896;478113;TOA3011;;00:23:54;;https://search.corpuskiparla.it/corpus/conversations/TOA3011.html;https://search.corpuskiparla.it/corpus/conversations/TOA3011_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;4;conversazione libera;// ma perché? // perché comunque in età cioè nel senso // grazie // aspetta no non è vero hai ragione // no vabbè è ug~ // età;comunque;sta c~ // cioè il problema è che non è // scusami età è comunque // non è un morfema unico? // ma non deve avere qualche;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;0;;
TOA3011;#35147;doc#2;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=848449&end=852736;848449;852736;TOA3011;;00:23:54;;https://search.corpuskiparla.it/corpus/conversations/TOA3011.html;https://search.corpuskiparla.it/corpus/conversations/TOA3011_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;4;conversazione libera;fine sì // secondo me costa meno che // fare tutto sto bordello della vita // mi sa quindici al giorno aveva chiesto // ma;comunque;non cambia un cazzo perché anche senza cane non esistono i mezzi di trasporto // ma no senza cane ci arrangiamo ma figura~;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
TOA3011;#35367;doc#2;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=889393&end=892174;889393;892174;TOA3011;;00:23:54;;https://search.corpuskiparla.it/corpus/conversations/TOA3011.html;https://search.corpuskiparla.it/corpus/conversations/TOA3011_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;4;conversazione libera;se non conosci il posto cosa fai // con lo zaino muori // segui le statali? // no no no // in effetti // beh l'' abbiam fatto eh;comunque;in bici // non è bello // ma no lì eravamo nei castelli della loira ma figurte // le piste ciclabili che non esistevano ma;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
TOA3011;#35926;doc#2;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=1017859&end=1019471;1017859;1019471;TOA3011;;00:23:54;;https://search.corpuskiparla.it/corpus/conversations/TOA3011.html;https://search.corpuskiparla.it/corpus/conversations/TOA3011_jefferson.html;21-25;F;;stud;;;lombardia;laurea in corso;4;conversazione libera;cazzo // // // il nostro gruppo whatsapp si chiama kandinsky''s family // grande // bello // veramente? // sì // beh bello;comunque;// e no e comunque sta avendo le mestruazioni e questa cosa mi sta turbando molto // ma perché io in prima persona non ho mai;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;1;1;"Funzione Cognitiva di ""CONCESSIVITà"" o di ""IGNORARE LE PREMESSE CONTRARIE""?";"Potrebbe esprimere una controaspettativa o una deduzione/conclusione che non è corente con quanto emerso dal discorso, in linea con la natura concessiva dell'avverbio? ""Non me/te lo aspettavo/i, ma è bello LLA FINE"""
TOA3011;#36519;doc#2;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=1147436&end=1151401;1147436;1151401;TOA3011;;00:23:54;;https://search.corpuskiparla.it/corpus/conversations/TOA3011.html;https://search.corpuskiparla.it/corpus/conversations/TOA3011_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;4;conversazione libera;// perché co~ cioè l'' importante è trovare qualcuno che sia affidabile e che magari l'' ha già fatto // che ti piace // però;comunque;a quel prezzo lo trovi tranquillamente secondo me // potrei potrei pagare anche alessia // ma alessia è qua? // xxx tanto;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBA004;#39394;doc#3;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=600728&end=604050;600728;604050;PBA004;;00:57:15;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;M;;oper;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;sempre via per lavoro // ehm // sono a casa praticamente il fine settimana // a // attualmente andare in~ in affitto // o;comunque;prendermi un appartamento andare in affitto per conto mio // lo vedo più come una questione diciamo // non ti conviene //;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
