Reference;Token number;Document number;Anno di raccolta;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;annotation.audio_file;Left;KWIC;Right;Non SD;Test dell'omissione;Test della reggenza sintattica;Test prosodico;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti
KPS004;#24638;doc#0;;7240938;7244438;PKP034;KPS004;;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;;pens;;;puglia;dip_tec_prof;3;pasto;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=7240938&end=7244438;scendevamo io c''ho una fotografia che m''è rimasta mia e delle m~ // del gruppo delle // che mh prima scendevamo giù sotto;diciamo;al piazzale // che c''erano gli alberi poi c''era la // la cosa c''era il campo da tennis e // e di là s''andava al foro italico //; ;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;0;;
PBB024;#25149;doc#1;;84937;88358;BOI091;PBB024;;;https://search.corpuskiparla.it/corpus/conversations/PBB024.html;https://search.corpuskiparla.it/corpus/conversations/PBB024_jefferson.html;46-50;F;;uff;;;emilia-romagna;dip_tec_prof;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=84937&end=88358;con me // ecco // d''accordo // mentre ritornando alla zona attuale in cui vivi eh hai pareri ti piace questa zona? //;diciamo;che a livello di traffico l''adoro // nel senso che quando vado a trovare mia mamma che abita // ancora in @nomeluogo ehm il;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB024;#25302;doc#1;;143603;149720;BOI091;PBB024;;;https://search.corpuskiparla.it/corpus/conversations/PBB024.html;https://search.corpuskiparla.it/corpus/conversations/PBB024_jefferson.html;46-50;F;;uff;;;emilia-romagna;dip_tec_prof;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=143603&end=149720;fine ti ritrovi a doverti spostare spesso // sì // e in che zone più o meno // beh considerando che lavoro in corticella;diciamo;che quando poi devo fare qualcosa la zona che m~ // si può dire bazzico di più è quella nel senso che conosco bene quella;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB024;#25715;doc#1;;308148;313249;BOI091;PBB024;;;https://search.corpuskiparla.it/corpus/conversations/PBB024.html;https://search.corpuskiparla.it/corpus/conversations/PBB024_jefferson.html;46-50;F;;uff;;;emilia-romagna;dip_tec_prof;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=308148&end=313249;certo // certo // e riterresti che sia sano? eh // scusa siano eh rapprasentativi quindi della cultura bolognese? // mah;diciamo;che è una cosa più turistica probabilmente che proprio culturalmente // perché diresti questo // mah // perché se pensi;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB024;#28639;doc#1;;1323920;1328879;BOI091;PBB024;;;https://search.corpuskiparla.it/corpus/conversations/PBB024.html;https://search.corpuskiparla.it/corpus/conversations/PBB024_jefferson.html;46-50;F;;uff;;;emilia-romagna;dip_tec_prof;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=1323920&end=1328879;a posto // perché eh leggevo che c''è l''iniziativa di risi~ ri // non ristruttararli di vabbè mh riportarli al loro arbore;diciamo;così // certo // albore // ehm // volevo chiederti infatti appunto abbiam parlato del loro stato // ci sono anche molte; ; ; ; ;1;;;;;;;;;;;;;;;;;;;;1;;;1;;1;;
PBA004;#42048;doc#3;;1426310;1427760;BOI060;PBA004;;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;M;;oper;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=1426310&end=1427760;// vabbè quello è tutta una parte se~ se~ assestante però si diciamo ehm ri~ ritornando all''argomento principale // ehm;diciamo;com''è // durante la settimana okay // al fine settimana o festivi // alla sera c''è // per~ non è per tutti ecco cioè sì //; ; ; ; ;1;1;;;;;;;;;;;;;;;;1;;;;;;;;0;;
PBA004;#42970;doc#3;;1725867;1728887;BOI060;PBA004;;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;M;;oper;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=1725867&end=1728887;particolare più il classico vabbè uscire con gli amici ma // vabbè sì // è una cosa diciamo più // nella norma // ehm // poi;diciamo;a parte quello // una volta poi smesso non ho fatto // ho fatto un paio di anni di non dico completo abbandono ma // simile //; ;;;;1;1;;;;;;;;;;1;;;;;;1;;;;;;;;0;;
PBA004;#43124;doc#3;;1778560;1779010;BOR018;PBA004;;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;F;;stud;;;calabria;laurea in corso;4;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=1778560&end=1779010;agonistico che avevo prima non posso più riprenderlo ormai è tardi // e sono vecchio ormai ci~ uhm diciamo // ehm // sì //;diciamo;// // su quel contesto lì ormai è tardi // (l''hai preso un biscotto // grazie // ehm // però si era // nel mio caso era una; ; ; ; ;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;1;;
PBA004;#45543;doc#3;;2527330;2530420;BOI060;PBA004;;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;M;;oper;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=2527330&end=2530420;che mi è difficile diciamo ascoltare continuare ascoltare è la classica // mh // e non~ non su tutte // dipende da che mo~;diciamo;che cosa sto ascoltando // no ci sta può seccare ogni tanto // e la trovo un po'' troppo // calma // // definiamola in questa; ; ;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;0;;
PBA004;#46920;doc#3;;2969030;2969760;BOI060;PBA004;;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;M;;oper;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=2969030&end=2969760;molto // è più il genere con i video e tutto erano queste cose strane // // con immagini strane // e anche un po'' // //;diciamo;// paurose // spinte ah no // sì no beh più che spinte erano // molto dark possiamo d~ cioè molto tetre molte // eh dicevi; ; ;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;0;;
