Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti
TOA3011;#36354;doc#2;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=1108049&end=1113443;1108049;1113443;TO087;TOA3011;00:23:54;;https://search.corpuskiparla.it/corpus/conversations/TOA3011.html;https://search.corpuskiparla.it/corpus/conversations/TOA3011_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;4;conversazione libera;chiama? // il menarca // menar~ // e tra l'' altro in tutto questo disagio a luglio io la devo eh sterilizzare // sì quindi io;immagino;soltanto sto cane che pure è appena sterilizzato isterico in vacanza con noi // mai voluto un cane nella mia vita // no;1;penso soltanto a sto cane;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBA004;#38289;doc#3;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=222440&end=226727;222440;226727;BOR018;PBA004;00:57:15;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;F;;stud;;;calabria;laurea in corso;4;intervista semistrutturata;mai qua a bologna però // ti devi solo abituare un po'' // sì // secondo me è terribile cioè sono pazzi qua a guidare e voi pure;immagino;xxx // allora // // allora per esperieza mia lavorativa che viaggio in tutta italia // bologna è // un paradiso // ah per~;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
PBA004;#43929;doc#3;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=2039410&end=2041730;2039410;2041730;BOR018;PBA004;00:57:15;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;F;;stud;;;calabria;laurea in corso;4;intervista semistrutturata;però sì non ho mai avuto a parte il basket quando ero piccolo non ho mai avuto grandi hobby // mhmh // boh a parte quello // ma;immagino;a questo punto // che eri un~ eri e sei magari un grande appassionato della virtus della cioè lo senti il // il~ il ~ la //;;;;;1;1;;;;;;;;;;;;;;;;;;;1;;;;;0;;
PBA004;#44378;doc#3;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=2191880&end=2196930;2191880;2196930;BOI061;PBA004;00:57:15;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;F;;comm;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;invece è jamaicano // è bello cattivo // mh // e prima di questo ho fatto // e kungfu // eh un''arte marziale cinese;immagino;comunque voi facendo cinese // // eh meh no e // lì ero anche abbastanza bravina // mh ho fatto nazionali // confermo // le;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
BOD2001;#50912;doc#4;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2001&begin=811735&end=825910;811735;825910;TO999;BOD2001;00:15:59;;https://search.corpuskiparla.it/corpus/conversations/BOD2001.html;https://search.corpuskiparla.it/corpus/conversations/BOD2001_jefferson.html;26-30;M;;intell;;;piemonte;phd;2;intervista semistrutturata;come al solito cioè se io abito in un posto non è che ho poi tanto interesse a conoscere chi chi viene da fuori perché cioè;immagino;che l'' austriaco di turno avrà il suo giro avrà // mh // mh sì esatto esatto sì poi loro son molto chiusi quindi comun~ molto;1;;; suppongo che l'austriaco di turno avrà il suo giro;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBC010;#65143;doc#7;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC010&begin=1552907&end=1556200;1552907;1556200;BOR001;PBC010;00:45:06;;https://search.corpuskiparla.it/corpus/conversations/PBC010.html;https://search.corpuskiparla.it/corpus/conversations/PBC010_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;// tu riconosci nell''altro qualità che magari tu non hai // sì // sì sì // e~ ehm ehm // lei dice di essere di bologna quindi;immagino;che abbia lavorato // cioé se è qui da sette anni avrà lavorato prim~ prima in altre // sì ho lavorato parecchio fuori;1;;credo che tu abbia lavorato;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOD2005;#108082;doc#13;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2005&begin=1002805&end=1003947;1002805;1003947;BO073;BOD2005;00:33:08;;https://search.corpuskiparla.it/corpus/conversations/BOD2005.html;https://search.corpuskiparla.it/corpus/conversations/BOD2005_jefferson.html;21-25;F;;stud;;;basilicata;laurea in corso;3;intervista semistrutturata;è una cosa che puoi anche immaginare cioè non che ci sta g~ lo giustifico però // si // no vab~ però uno sa che succede // me lo;immagino;// eh me lo immagino // già prima so che cosa posso trovare // che so uscivo io ogni tanto senza maurizio che aveva da fare //;1;me lo penso;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;non so bene come sostituirlo per il test;
BOD2005;#108087;doc#13;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2005&begin=1004007&end=1004998;1004007;1004998;BO073;BOD2005;00:33:08;;https://search.corpuskiparla.it/corpus/conversations/BOD2005.html;https://search.corpuskiparla.it/corpus/conversations/BOD2005_jefferson.html;21-25;F;;stud;;;basilicata;laurea in corso;3;intervista semistrutturata;immaginare cioè non che ci sta g~ lo giustifico però // si // no vab~ però uno sa che succede // me lo immagino // eh me lo;immagino;// già prima so che cosa posso trovare // che so uscivo io ogni tanto senza maurizio che aveva da fare // ma maglie anche;;me lo penso;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;non so bene come sostituirlo per il test;
BOD2006;#113531;doc#14;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2006&begin=805460&end=810160;805460;810160;BO049;BOD2006;00:18:57;;https://search.corpuskiparla.it/corpus/conversations/BOD2006.html;https://search.corpuskiparla.it/corpus/conversations/BOD2006_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;in altre in altre band ecco diciamo vedi questa // e quindi questo cioè la musica ti porta via gran parte del tuo tempo;immagino;// non é che me lo porta via me lo porta in casa é tempo mio sì sì // si // okay // beh sì si prende una bella fetta di tempo // bene;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;1;;1;;
PBA021;#141579;doc#18;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA021&begin=2475863&end=2477895;2475863;2477895;BOR030;PBA021;00:45:31;;https://search.corpuskiparla.it/corpus/conversations/PBA021.html;https://search.corpuskiparla.it/corpus/conversations/PBA021_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;va molto va davvero tanto // però sì ascolto generi abbastanza come dire tranquilli ecco // mh // e vai anche a concerti;immagino;// sì // assolutamente sono una patita di concerti // a quali sei andata recentemente? // recentemente ne ho fatti tre //;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
