Reference;Tok_ID;Doc_ID;Year;Topic;conv_transcription;conv_jefferson;Speaker_Age;età;Speaker_Gender;Place;Provenience;Relationship;Text_Type;Job;Education;N_Speakers;annotation.audio_file;Left;KWIC;Right;Non SD;presenta complementatore;sta per sapere, es. saper dire;;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti
TOA3012;#10308;doc#1;2019;libero;https://search.corpuskiparla.it/corpus/conversations/TOA3012.html;https://search.corpuskiparla.it/corpus/conversations/TOA3012_jefferson.html;21-25;21-30;F;TO;umbria;simmetrico;conversazione libera;stud;laurea in corso;4;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3012&begin=426284&end=429025;non è venuta xxx campus // non l'' ho so io non l'' ho sentita quand'' è l'' ultima voltà che l'' ho sentita? // boh // che ne so io? //;mi sa;quando c'' eri pure tu che ci siamo viste lì al bar // xx // giovedì palazzo nuovo // questo xx // e cavallerizza // ma io so //;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;
TOD2016;#47436;doc#8;2019;fisso;https://search.corpuskiparla.it/corpus/conversations/TOD2016.html;https://search.corpuskiparla.it/corpus/conversations/TOD2016_jefferson.html;21-25;21-30;F;TO;lombardia;simmetrico;intervista semistrutturata;stud;laurea in corso;2;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2016&begin=1182057&end=1184897;una casa // va bene anche su vicini? // assolutamente // perché // io e la mia famiglia // la sfiga coi vicini ce l'' abbiamo;mi sa;nel di enne a // okay // eh perché // vabbè nel~ abbiamo avuto // vari problemi coi vicini // in casa e vabbè // ahah // e dici;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
PBA004;#64758;doc#10;2022;fisso;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;21-30;F;BO;calabria;asimmetrico;intervista semistrutturata;stud;laurea in corso;4;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=2132700&end=2140680;danza // // assolu~ non lo sapevi // no perchè non me l''hai mai detto esplicitamente però in un audio mandato a mattea mh;mi sa;per il suo compleanno avevi detto ah devo andare a danza e noi // // // cosa co~ // strano che io balli eh // no no non mh non;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;
PBA004;#65331;doc#10;2022;fisso;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;21-30;F;BO;emilia-romagna;asimmetrico;intervista semistrutturata;comm;dip_tec_prof;4;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=2307480&end=2313590;p+R6:T6erchè così ci conoscevamo eccetera // e e niente // v~ v~ va da da bianchi che era cioè è suo pad~ no da tuo nonno era andata;mi sa;mi sa da tuo nonno ancora // forse mio nonno sì // e praticamente fa ah dai ve lo ve lo veniamo a predere se tu~ se mh tuo figlio;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;
PBA004;#65333;doc#10;2022;fisso;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;21-30;F;BO;emilia-romagna;asimmetrico;intervista semistrutturata;comm;dip_tec_prof;4;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=2307480&end=2313590;così ci conoscevamo eccetera // e e niente // v~ v~ va da da bianchi che era cioè è suo pad~ no da tuo nonno era andata mi sa;mi sa;da tuo nonno ancora // forse mio nonno sì // e praticamente fa ah dai ve lo ve lo veniamo a predere se tu~ se mh tuo figlio non;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;
PTD019;#122033;doc#18;2019;fisso;https://search.corpuskiparla.it/corpus/conversations/PTD019.html;https://search.corpuskiparla.it/corpus/conversations/PTD019_jefferson.html;36-40;31-40;M;TO;piemonte;asimmetrico;intervista semistrutturata;comm;dip_lic;4;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD019&begin=387316&end=394244;// è vero anch''io per un un ann~ n~ netto e mezzo ero s~ andavo da barista o mentre facevo il programmatore solo nel weekend;mi sa;// okay // ehm ti piacerebbe anzi vi piacerebbe andare avanti a far sempre lo stesso lavoro oppure vi piacerebbe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;non udibile
PBB032;#141348;doc#20;2024;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB032.html;https://search.corpuskiparla.it/corpus/conversations/PBB032_jefferson.html;51-55;51-60;M;BO;calabria;asimmetrico;intervista semistrutturata;intell;laurea;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB032&begin=2483970&end=2486340;chiesa sconsacrata cos''è quella? // sì sì // c''è una festa di laurea di una nostra cugina // mh // però noi direttamente;mi sa;per federic~ // no noi non abbiamo mai organizzato a bologna // per federico andammo al villaggio della salute // mh // sì;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;non udibile
PBB017;#158563;doc#23;2022;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB017.html;https://search.corpuskiparla.it/corpus/conversations/PBB017_jefferson.html;21-25;21-30;M;BO;sardegna;asimmetrico;intervista semistrutturata;stud;laurea in corso;2;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB017&begin=697335&end=699541;di questa bella casa // e l''ho colta al volo e quindi me ne sono andata // e nel frattempo hai fatto mille lavori;mi sa;// nel frattempo mille lavori sì // mh mille ho cambiato tante volte perché è un settore in crisi // i tempi poi non erano;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;
PBB017;#164781;doc#23;2022;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB017.html;https://search.corpuskiparla.it/corpus/conversations/PBB017_jefferson.html;46-50;41-50;F;BO;sardegna;asimmetrico;intervista semistrutturata;uff;dip_lic;2;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB017&begin=2568493&end=2569947;impreparato // o tipo i camme~ // oppure i i ca~ i dromedari o i cammelli? non lo so insomma no no non // no è proprio lo gnu;mi sa;// sai quell''animale un po'' // strano vabbè sicuramente no~ non fa parte // // degli animali che abbiamo in europa;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;proprio lo gnu mi sa
KPN030;#224425;doc#31;2022;libero;https://search.corpuskiparla.it/corpus/conversations/KPN030.html;https://search.corpuskiparla.it/corpus/conversations/KPN030_jefferson.html;21-25;21-30;F;BO;basilicata;simmetrico;pasto;stud;laurea in corso;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN030&begin=197408&end=199829;tutti quindi noi restiamo fuori // perchè tipo a una certa fanno altre cinque persone // c''erano dei ragazzi avanti //;mi sa;tipo una che inizia a correre nel gruppo // noi dicevamo oh ma che ro~ corri stanno gli altri // tanto sicuo~ sicuro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;non udibile
KPN030;#226778;doc#31;2022;libero;https://search.corpuskiparla.it/corpus/conversations/KPN030.html;https://search.corpuskiparla.it/corpus/conversations/KPN030_jefferson.html;21-25;21-30;M;BO;basilicata;simmetrico;pasto;stud;laurea in corso;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN030&begin=872706&end=873660;// e io sono stato iscritto a me c''è un albero // ma serio? // stefano lino rossi // non mi ricordo se un cipresso o un cedro //;mi sa;il cipresso // che figo // noi io sono allergica // // // no però è un albero con cui si fanno anche i mobili // non lo so perchè;;;;;1;;;;;;;;;;;;;;1;;;;;;1;;;;;;;
KPN030;#228158;doc#31;2022;libero;https://search.corpuskiparla.it/corpus/conversations/KPN030.html;https://search.corpuskiparla.it/corpus/conversations/KPN030_jefferson.html;21-25;21-30;F;BO;basilicata;simmetrico;pasto;stud;laurea in corso;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN030&begin=1208283&end=1211522;quattro // ah // eh vabbè sì // no no no // mo cugino è // ne ha fa~ ha detto che ha fatto un anno di // vent~ boh ventitrè ven~;mi sa;ne deve fare ventiquattro a giugno // vabbè se fanno gli anni insieme più o meno quello sarà // ne deve fare ventiquattro a;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;
KPS023;#234970;doc#32;2020;libero;https://search.corpuskiparla.it/corpus/conversations/KPS023.html;https://search.corpuskiparla.it/corpus/conversations/KPS023_jefferson.html;26-30;21-30;M;CE;campania;simmetrico;pasto;stud;laurea in corso;2;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS023&begin=1461739&end=1464243;stefano eh // eh eh // su instagram ce l''hai // ma io non so se // su whatsapp // su what~ // ah su whatsapp sì // no io non ce l''ho;mi sa;ne su eh facebook // io ho solta~ ho marialba e ho pure stefano e poi i tre figli no tre~ su instagram ho soltanto comm'' si;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;
KPS023;#235632;doc#32;2020;libero;https://search.corpuskiparla.it/corpus/conversations/KPS023.html;https://search.corpuskiparla.it/corpus/conversations/KPS023_jefferson.html;26-30;21-30;M;CE;campania;simmetrico;pasto;stud;laurea in corso;2;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS023&begin=1670534&end=1671142;e gli ehm come si chiamavano quelli? // ah i tuzzi io ho fatto l''esame su i tuzzi // eh // gl~ // gli ati uti // mh // gli uti //;mi sa;// gli uti // però non ne sono sicuro io ho fatto l''esame su i genocidi // eh // tipo la strage dei curdi da parte di saddam;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;
PBA028;#264415;doc#36;2024;fisso;https://search.corpuskiparla.it/corpus/conversations/PBA028.html;https://search.corpuskiparla.it/corpus/conversations/PBA028_jefferson.html;21-25;21-30;F;BO;emilia-romagna;asimmetrico;intervista semistrutturata;stud;laurea in corso;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA028&begin=2578460&end=2579674;bella x // orribile // sì era quel~ il era quello il motivo sì // era quella la cosa bella // anche perchè adesso è asciutto;mi sa;// eh va a momenti non lo so // sinceramente non lo so // eh // beh qu~ quando quando quando c''è stata l''alluvione il // tu x //;;;;;1;;;1;;;;;;;;;;;;;;;;;1;;;;;;;
PBA020;#439091;doc#56;2023;fisso;https://search.corpuskiparla.it/corpus/conversations/PBA020.html;https://search.corpuskiparla.it/corpus/conversations/PBA020_jefferson.html;21-25;21-30;M;BO;estero;asimmetrico;intervista semistrutturata;comm;dip_tec_prof;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA020&begin=82410&end=85328;sta sta crollando // non tanto // per via san vitale // eh // rompe un po'' le scatole // un po'' per tutti e per tutti studenti;mi sa;anche i lavoratori // mh // che è scomodo poi // andar tutto a piedi o in bici // certo // ti ha portato meno clienti questa;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;
BOA3003;#452885;doc#58;2017/18;libero;https://search.corpuskiparla.it/corpus/conversations/BOA3003.html;https://search.corpuskiparla.it/corpus/conversations/BOA3003_jefferson.html;21-25;21-30;F;BO;lombardia;simmetrico;conversazione libera;stud;laurea in corso;4;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=219386&end=220729;// ma secondo me parliamo della s~ eh secondo me parliamo della stessa cosa // te cenci // cenci // voi parlate di bugie;mi sa;// bugie le chiamate voi // basta raga // mangio io non ti preoccupare // ah non lo voglio vede'' // abbiamo inizia~ //;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;
BOA3003;#456941;doc#58;2017/18;libero;https://search.corpuskiparla.it/corpus/conversations/BOA3003.html;https://search.corpuskiparla.it/corpus/conversations/BOA3003_jefferson.html;21-25;21-30;F;BO;lombardia;simmetrico;conversazione libera;stud;laurea in corso;4;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=1387962&end=1389581;il mar caspio // un caspio d'' insalata // aspe'' // un cespo? no un caspo // cespo // un cespo? // cespo // eh cesto è sbagliato;mi sa;// allora io dal dai dai paki dico sempre un caspio cioè raga veramente analfabetismo is the way // no cesto io dico sempre;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;1;;;;
PTB015;#576233;doc#74;2019;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB015.html;https://search.corpuskiparla.it/corpus/conversations/PTB015_jefferson.html;16-20;<20;F;TO;piemonte;asimmetrico;intervista semistrutturata;stud;dip_lic;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB015&begin=246871&end=248092;non importa a me non non dà fastidio quello perché sono abituata nelle chiese perciò sai che xx xxx xxx // madonna // ma su;mi sa;// c~ comunque // ah beh sì voi sì // grazie // ho dato // il libro a giula per marta // sì? // sì // eh // è bellissimo // ehm // è;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;non udibile
KPN004;#628213;doc#79;2020;libero;https://search.corpuskiparla.it/corpus/conversations/KPN004.html;https://search.corpuskiparla.it/corpus/conversations/KPN004_jefferson.html;21-25;21-30;F;BO;emilia-romagna;simmetrico;pasto;stud;laurea in corso;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN004&begin=360563&end=367480;poi // qui // mh // ah ci vai a piedi da qua dal ca~ dai campi // macchè // // prendiamo la macchina poi alla mattina andiamo;mi sa;a comprare dei palloncini qualcosa // chi ne vuole ancora un po'' // io la prendo volentieri se c''è // ila? // mhmh // vabbè;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;
PBA014;#634291;doc#80;2023;fisso;https://search.corpuskiparla.it/corpus/conversations/PBA014.html;https://search.corpuskiparla.it/corpus/conversations/PBA014_jefferson.html;21-25;21-30;M;BO;emilia-romagna;asimmetrico;intervista semistrutturata;oper;dip_tec_prof;2;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA014&begin=469180&end=470530;// purtroppo non ne conosco // so che c''è un gran via vai diciamo comunque nel centro // che ci sono stato // soprattutto;mi sa;// per delle feste di laurea // okay // perchè // per stra~ // per girare comunque // vedere le strade di di bologna //;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;
