Reference;;;;annotation.audio_file;;;;;;;;;;;;;;;;;;;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;;
BOA3003;#4542;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=1352197&end=1359010;1352197.0;1359010.0;BOA3003;BO018;01:18:34;;https://search.corpuskiparla.it/corpus/conversations/BOA3003.html;https://search.corpuskiparla.it/corpus/conversations/BOA3003_jefferson.html;21-25;F;;stud;;;toscana;laurea in corso;4;conversazione libera;cosa // anch'' hio // ha ha ha ha // magari // tipo beatrice c'' è un microfono davanti a te // mh a voglia // // a te // ehm piè;praticamente;pren~ allora a me mi fa schifo l'' insalata in busta non la posso mangiare cioè proprio mi s~ fa ven'' da vomitare // mhmh //;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
BOA3003;#5061;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=1470237&end=1475356;1470237.0;1475356.0;BOA3003;BO019;01:18:34;;https://search.corpuskiparla.it/corpus/conversations/BOA3003.html;https://search.corpuskiparla.it/corpus/conversations/BOA3003_jefferson.html;21-25;F;;stud;;;lombardia;laurea in corso;4;conversazione libera;è uguèl // l'' è uguèl l'' è uguèl // l'' è uguèl // ué l''é tant i stéss // molto buone ste robe beatrice // eh lo dirò a mia madre //;praticamente;noi passiamo il nostro tempo a parlare di cibo sfotterci per come diciamo le cose // sì // e parliamo di nuovo di cibo? // eh;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
BOA3003;#5178;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=1499150&end=1506627;1499150.0;1506627.0;BOA3003;BO016;01:18:34;;https://search.corpuskiparla.it/corpus/conversations/BOA3003.html;https://search.corpuskiparla.it/corpus/conversations/BOA3003_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;4;conversazione libera;no per sopprimere la fame bisogna bere un sacco d'' acqua quindi ora // io og~ sì grazie // la butto via? // son dell'' idea che;praticamente;sicuramente tra un po'' io andrò giù di sotto a prendermi le qualcosa col cioccolato // fanculo te e l'' acqua // eh gerry;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
BOA3003;#10229;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=3565366&end=3579649;3565366.0;3579649.0;BOA3003;BO019;01:18:34;;https://search.corpuskiparla.it/corpus/conversations/BOA3003.html;https://search.corpuskiparla.it/corpus/conversations/BOA3003_jefferson.html;21-25;F;;stud;;;lombardia;laurea in corso;4;conversazione libera;cognitivo // okayay // atto a okay ah okay okay okay okay questa ci sono xx atto a ehmh no devo imparare a dirla sta roba //;praticamente;essendo la realtà molto complessa ehmh l'' uomo naturalmente è portato amh a rielaborare le informazioni;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
BOA3003;#10547;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=3765317&end=3771628;3765317.0;3771628.0;BOA3003;BO016;01:18:34;;https://search.corpuskiparla.it/corpus/conversations/BOA3003.html;https://search.corpuskiparla.it/corpus/conversations/BOA3003_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;4;conversazione libera;anch'' io a lavorare lì? // ho fatto una figura di merda mara // perché? // ricordati sempre che siamo // c'' era xxx che;praticamente;stava mentre scendeva le scale m'' ha fatto proprio xxxx a me // topeh // dopo gli ho detto tipo grazie e lui prego // è che;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
TOD2011;#26310;doc#2;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2011&begin=679466&end=684351;679466.0;684351.0;TOD2011;TO047;00:31:38;;https://search.corpuskiparla.it/corpus/conversations/TOD2011.html;https://search.corpuskiparla.it/corpus/conversations/TOD2011_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;2;intervista semistrutturata;e quasi mh tutto il giorno // emh // e // mentre la tua facoltà non è a torino giusto? // la mia facoltà è a torino però eh è;praticamente;mh fuori torino // perchéè mhpraticamente è nella zona di mirafiori // okay // emh sì e la facoltà purtroppo è molto;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;
TOD2011;#26722;doc#2;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2011&begin=842080&end=857625;842080.0;857625.0;TOD2011;TO047;00:31:38;;https://search.corpuskiparla.it/corpus/conversations/TOD2011.html;https://search.corpuskiparla.it/corpus/conversations/TOD2011_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;2;intervista semistrutturata;anche a torino quando ehc'' erano alcuni spettacoli // ehmh // però ehmh eh quest'' anno ho ehm eh ho scoperto deleh cus che;praticamente;è una mh un'' associazione sportiva che comprende diversi tipi di sporteh tra cui anche la danza // okay // mhmh // e ci sono;;;;;1;;;;;;;;;;;;;;1;;;;;;;;1;;;1.0;
BOD1003;#53539;doc#7;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1003&begin=779160&end=781653;779160.0;781653.0;BOD1003;BO092;01:24:11;;https://search.corpuskiparla.it/corpus/conversations/BOD1003.html;https://search.corpuskiparla.it/corpus/conversations/BOD1003_jefferson.html;61-65;M;;intell;;;emilia-romagna;phd;1;lezione;punto della singola sfera // io lo devo considerare come // un affare di questo tipo solo che di punti ne ha infiniti //;praticamente;è come se fosse una scatola // in cui ho un punto di partenza zero // e un punto di fine chiamiamolo effe // mi basta che cosa;;;;;1;;;;;;;;;;;;;1;;;1;;;;;;;;;1.0;
BOD1003;#57562;doc#7;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1003&begin=2850486&end=2855853;2850486.0;2855853.0;BOD1003;BO092;01:24:11;;https://search.corpuskiparla.it/corpus/conversations/BOD1003.html;https://search.corpuskiparla.it/corpus/conversations/BOD1003_jefferson.html;61-65;M;;intell;;;emilia-romagna;phd;1;lezione;// quattro sette sette due? // quattro sette sette due moltiplicato due // quindi diventa nove cinque e qualcosa cioè;praticamente;quello che succede è che // tra quel valore meno i due sigma e quel la media più quel i due sigma // automaticamente vi viene;;;;;1;;;;;;;;;;;;;;1;;;;;;;;1;;;;
BOD2010;#65235;doc#9;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2010&begin=319879&end=324015;319879.0;324015.0;BOD2010;BO074;00:24:57;;https://search.corpuskiparla.it/corpus/conversations/BOD2010.html;https://search.corpuskiparla.it/corpus/conversations/BOD2010_jefferson.html;21-25;M;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;spazio molto personale // okay // anche perché di fatto // né i miei né mia sorella sorella ci vann~ cioè // non non ci vanno;praticamente;mai l'' ho sempre usata principalmente io // ehm ti trovi lì coi tuoi amici mi hai detto // sì // cosa cosa fate quando siete;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
