Reference;;;;annotation.audio_file;;;;;;;;;;;;;;;;;;;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;CUMULO;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;;dubbi;commenti
KPS004;#3005;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=964632&end=966000;964632;966000;PKP033;KPS004;0,084895833;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;26-30;F;;intell;;;emilia-romagna;laurea;3;pasto;// nelle buste come xxx nelle buste ci nelle scatolette che si trovano le lenticchie i ceci no? ecco // secchi // secchi //;quindi;poi l''hai messa a bagno // l''ho messa a bagno e e prima l~ le sciaquo bene poi le metto a bagno senza niente // e le lascio;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;ci manca qualcosa che indichi continuazione del topic che è tipico di quindi
KPS004;#23663;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=6942836&end=6944562;6942836;6944562;PKP034;KPS004;0,084895833;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;;pens;;;puglia;dip_tec_prof;3;pasto;quindi ministeri perchè poi ha cominciato sai // andato via il re // hanno cominciato // i ministeri // eccetera;quindi;sapendo // sapendo eh xx mio padre poi c''era il socio di mio padre che era un lavativo // che mio padre per delicatezza gli;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
PBB024;#25885;doc#1;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=372185&end=375517;372185;375517;BOR030;PBB024;0,025868056;;https://search.corpuskiparla.it/corpus/conversations/PBB024.html;https://search.corpuskiparla.it/corpus/conversations/PBB024_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;da vedere // mentre per quanto riguarda le due torri? // eh considereresti magari quelle più il simbolo della città;quindi;// sì // sì sì probabilmente sì // okay // e cosa ne pensi del crollo possibile della garisenda // e mi preoccupa mi;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;0;;
PBB024;#26981;doc#1;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=736695&end=739542;736695;739542;BOR030;PBB024;0,025868056;;https://search.corpuskiparla.it/corpus/conversations/PBB024.html;https://search.corpuskiparla.it/corpus/conversations/PBB024_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;quindi // o a casa con gli amici a fare i giochi di società // o da soli a guardare un film e mangiarci una pizza // non //;quindi;magari scendere in piazza e guardare i fuochi // xxx // no zero // no ze~ l''ho fatto eh perché quando s~ quando ero giovane;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;continuazione di topic
PBB024;#27519;doc#1;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=919922&end=925693;919922;925693;BOI091;PBB024;0,025868056;;https://search.corpuskiparla.it/corpus/conversations/PBB024.html;https://search.corpuskiparla.it/corpus/conversations/PBB024_jefferson.html;46-50;F;;uff;;;emilia-romagna;dip_tec_prof;2;intervista semistrutturata;fare soprattutto magari vicino a ferragosto // // a ferragosto ehm // è un periodo molto caldo dove tutti vanno in ferie;quindi;se posso lo evito a livello di vacanze proprio perché // trovi tanta gente eh è difficile muoversi in spiaggia // c''è;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB024;#29751;doc#1;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=1712922&end=1720027;1712922;1720027;BOI091;PBB024;0,025868056;;https://search.corpuskiparla.it/corpus/conversations/PBB024.html;https://search.corpuskiparla.it/corpus/conversations/PBB024_jefferson.html;46-50;F;;uff;;;emilia-romagna;dip_tec_prof;2;intervista semistrutturata;eh poi dopo ho smesso la pa~ pallamano lo facevo proprio in una squadra quindi andavamo a giocare fuori facevamo i tornei;quindi;proprio // eh poi mi hanno chiamato a giocare a calcetto ho fatto qualche anno di calcetto // ho provato a giocare //;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;0;;
TOA3011;#34487;doc#2;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=688238&end=690970;688238;690970;TO087;TOA3011;0,016597222;;https://search.corpuskiparla.it/corpus/conversations/TOA3011.html;https://search.corpuskiparla.it/corpus/conversations/TOA3011_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;4;conversazione libera;eh ah io gli dico no però sta diventa~ // non è vero // ah // cioè no mio nonno era sordo e mio padre lo sta diventando // okay //;quindi;non sente un cazzo io gli dico le cose e lui ogni volta // la colpa è il fatto che io ho difetti di pronuncia // // non che lui;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBA004;#41095;doc#3;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=1118340&end=1120810;1118340;1120810;BOI060;PBA004;0,039756944;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;M;;oper;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;co sti bimbetti di sei sette anni // c''abbiamo messo tipo non so quanto tempo // terribile // era una giornata // calda;quindi;per fortuna non era niente di // eh però a piedi // però sì c''abbiamo messo un po'' abbiamo fatto non so quante pause fra una;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;0;;
PBA004;#43553;doc#3;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=1920970&end=1922275;1920970;1922275;BOI060;PBA004;0,039756944;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;M;;oper;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;e quindi cercavo proprio di il pallone no // no no sì sì // per non soffrire // e // esattamente // peccato mi dispiace // e;quindi;// dopo quello in realtà non ho avuto granchè grandi hobby ecco // mh // e poi vabbè adesso mi son fatto di nuovo male quindi;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;continuazione di topic
PBA004;#46886;doc#3;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=2952900&end=2957070;2952900;2957070;BOI060;PBA004;0,039756944;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;M;;oper;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;al cortile // però erano bravi eh mi sono divertita un sacco // sì no ma eh eh diciamo // se // più che per eh brav~ ero piccolo;quindi;non è che mi mi interessasse molto // è più il genere con i video e tutto erano queste cose strane // // con immagini strane;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;0;;
