Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;"Omissione: omettendo ""sai"" cambia il senso della predicazione";"Sintassi: ""sai"" regge una subordinata secondaria (es. sai che…)";"Prosodia: ""sai"" non costituisce un'unità prosodica indipendente";SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti;Macrofunzioni;Microfunzioni
PTB009;#6385;doc#0;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB009&begin=2027669&end=2031054;2027669;2031054;TOI035;PTB009;00:47:05;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB009.html;https://search.corpuskiparla.it/corpus/conversations/PTB009_jefferson.html;over 85;F;TO;pens;sì;asimmetrico;piemonte;dip_lic;4;intervista semistrutturata;ambienti piccoli ci sono tante cose che non vanno bene // per cui io no // non ti piaceva? // no // troppo chiuso? // c''era;sai;c''è sempre una cricca che comanda in tutte le // in tutte le comunità chiuse // eh che si fa un po'' gli affari suoi eh // okay;;;;;1;;;;;;;;1;;;;;;1;;;;;;;;;;;1;;;Interazionale & Metatestuale;Marcatura della conoscenza condivisa & Riformulazione
PTB009;#6536;doc#0;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB009&begin=2073858&end=2077753;2073858;2077753;TOI035;PTB009;00:47:05;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB009.html;https://search.corpuskiparla.it/corpus/conversations/PTB009_jefferson.html;over 85;F;TO;pens;sì;asimmetrico;piemonte;dip_lic;4;intervista semistrutturata;// // ha f~ fatto un po'' la turista adesso // eh sì eh sì siamo andati al parco san vito che è bellissimo // vabbè // forse non;sai;neanche che esiste è sotto la chiesetta di san vito // xxx no beh // su per la collina dai è vicino qui si sale su dalla strada;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTB009;#8767;doc#0;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB009&begin=2799369&end=2803502;2799369;2803502;TOI035;PTB009;00:47:05;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB009.html;https://search.corpuskiparla.it/corpus/conversations/PTB009_jefferson.html;over 85;F;TO;pens;sì;asimmetrico;piemonte;dip_lic;4;intervista semistrutturata;l''altro giorno // va bene io ti ringrazio tantissimo per il tempo // grazie mille davvero // a me è piaciuto raccontare;sai;ai vecchi piace raccontare la propria vita // ah perfetto a me anche quindi siamo a posto // // // grazie ancora // ed è;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;Interazionale;Marcatura della conoscenza condivisa
TOA3012;#9557;doc#1;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3012&begin=200488&end=202036;200488;202036;TO090;TOA3012;18:02:00;libero;https://search.corpuskiparla.it/corpus/conversations/TOA3012.html;https://search.corpuskiparla.it/corpus/conversations/TOA3012_jefferson.html;21-25;F;TO;stud;no;simmetrico;piemonte;laurea in corso;4;conversazione libera;classico? // solo il luogo // liceo giacomo leopardi // no la città la città // torino // torino // vabbè adesso;sai;anche il mio liceo // vabbè va bene // ben venga // anch'' io scriverà il mio liceo xxx // vai così non mi fai sembrare stupid;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PBB023;#18284;doc#2;2023;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB023&begin=1510907&end=1516620;1510907;1516620;BOI087;PBB023;00:33:46;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB023.html;https://search.corpuskiparla.it/corpus/conversations/PBB023_jefferson.html;51-55;M;BO;uff;sì;asimmetrico;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;la preparazione invernale a san luca e dovevamo fare i portici entro i quattordici minuti // io no // mamma mia // tu non;sai;quante volte ho vomitato io arrivato su perchè ti assicuro quattordici minuti son pochissimi // // son veramente;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PBB023;#18380;doc#2;2023;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB023&begin=1536540&end=1541140;1536540;1541140;BOR026;PBB023;00:33:46;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB023.html;https://search.corpuskiparla.it/corpus/conversations/PBB023_jefferson.html;21-25;M;BO;stud;sì;asimmetrico;sardegna;laurea in corso;4;intervista semistrutturata;è che io a san luca ci fossi andato per altri motivi se non quelli ecco // no certo certo sì anch''io mi riferivo al panorama;sai;al // io al panorama e poi io ho anche mangiato su a san luca // sì? // sì ogni tanto andavo anche io andavo su da vito da vito //;;;;;1;;;;;;;;1;;;;;;;;;;1;;;;;;;1;;;Interazionale & Metatestuale;Marcatura della conoscenza condivisa & General extenders e marche di generalizzazione
PBB023;#18560;doc#2;2023;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB023&begin=1576300&end=1579710;1576300;1579710;BOI087;PBB023;00:33:46;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB023.html;https://search.corpuskiparla.it/corpus/conversations/PBB023_jefferson.html;51-55;M;BO;uff;sì;asimmetrico;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;altre zone d''italia non lo so // o è una cosa generazionale un po'' secondo voi // sai che è una bella domanda e non // non lo so;sai;che non lo so sinceramente no // non // sai che non ti saprei dare una risposta // non lo so // non lo so di sicuro noi ad;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PBB023;#18570;doc#2;2023;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB023&begin=1580540&end=1582094;1580540;1582094;BOI088;PBB023;00:33:46;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB023.html;https://search.corpuskiparla.it/corpus/conversations/PBB023_jefferson.html;51-55;F;BO;uff;sì;asimmetrico;emilia-romagna;med;4;intervista semistrutturata;generazionale un po'' secondo voi // sai che è una bella domanda e non // non lo so sai che non lo so sinceramente no // non //;sai;che non ti saprei dare una risposta // non lo so // non lo so di sicuro noi ad esempio ci siamo sposati in comune ma per scelta;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTA012;#20922;doc#3;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA012&begin=215300&end=217270;215300;217270;TOI014;PTA012;00:30:28;fisso;https://search.corpuskiparla.it/corpus/conversations/PTA012.html;https://search.corpuskiparla.it/corpus/conversations/PTA012_jefferson.html;16-20;M;TO;disocc;sì;asimmetrico;piemonte;dip_tec_prof;3;intervista semistrutturata;meglio? // sarebbe più semplice? // mh // sicuramente il turismo aiuta molto // perché quando tu hai un negozio // e;sai;gestirlo bene // mh molt~ mh diciamo che ci sono molte più possibilità // che la gente entri dia un''occhiata che si;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PBB012;#35277;doc#5;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB012&begin=1794965&end=1797665;1794965;1797665;BOI039;PBB012;00:49:50;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB012.html;https://search.corpuskiparla.it/corpus/conversations/PBB012_jefferson.html;51-55;M;BO;comm;sì;asimmetrico;emilia-romagna;laurea;3;intervista semistrutturata;per esempio delle elementari bombicci // su queste vicende così all''inizio era un po'' titubante poi invece // dopo;sai;trovandosi davanti ai bambini // mh // e i bambini aveva era uscivano entusiasti // // // eh lorenzo lorenzo // e allora;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;Interazionale;Marcatura della conoscenza condivisa
