Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;Test 1: Regge qualcosa come una subordinata o un obliquo?;Test 2: Ha un soggetto?;Test 3;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti;;
KPS004;#168;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=69915&end=70502;69915;70502;KPS004;;02:02:15;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;26-30;F;;intell;;;emilia-romagna;laurea;3;pasto;i fiori // i fiori li teniamo // allora vediamo se fa x // se ti ci metto un po'' di scamorza dentro la mangi? // eh va bene sì //;va bene;// xxxxxx // tutto a posto // // // devo togliere la buccia? // io la ma~ io la mangio è la parte più saporita // no no io non la;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;0;;;;
KPS004;#2399;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=793797&end=796311;793797;796311;KPS004;;02:02:15;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;26-30;F;;intell;;;emilia-romagna;laurea;3;pasto;essere una conversazione non // una conversazione io parlo molto io parlo sai // // io adesso mentre parlo xxx // mh //;va bene;allora adesso registriamo così poi glielo mando // ti verrà la sete però caro mio // senti qua non riesco a farlo che devo;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;;;
KPS004;#4732;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=1438816&end=1439442;1438816;1439442;KPS004;;02:02:15;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;26-30;F;;intell;;;emilia-romagna;laurea;3;pasto;così // un po'' selezionate che le devi vedere tu // ah // qualcuna se vuoi te la puoi scegliere e pure prenderla //;va bene;// ma me ne avevi già data qualcuna // ma io voglio vede~ // eh? // io voglio vedere quelle di veracruz quelle lì quelle dei;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;0;;;;
KPS004;#14152;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=4058397&end=4061663;4058397;4061663;KPS004;;02:02:15;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;over 85;M;;pens;;;puglia;dip_tec_prof;3;pasto;è ve~ non sentire il nonno il nonno non mi non mi piace perchè non sa dire le cose // con me non sei andata bene perché io dico;va bene;vai io mi fermo qua // no comunque // andammo col pullmann // eh // io mi ricordo a quei tempi xx // ma non è stata male? // è;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;0;;;;
KPS004;#17429;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=4995496&end=4995949;4995496;4995949;KPS004;;02:02:15;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;26-30;F;;intell;;;emilia-romagna;laurea;3;pasto;// più // meno speciali // te le lascio // mhmh // e mi prendo questa qui // ma te l''ho eh // e mi prendo il maglioncino //;va bene?;// ti puoi prendere tutto quello che vuoi // no ma troppe cose non c~ non le voglio // se mi dici che te le porto io sopra dimmi;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;0;;;;
KPS004;#22276;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=6506734&end=6507695;6506734;6507695;KPS004;;02:02:15;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;;pens;;;puglia;dip_tec_prof;3;pasto;lei ha detto // la porto con me no? // e invece non era non era per dire ha detto ma dov''è capito? // mia madre dice sì;va bene;// però poi non sei curata che ha det~ che ha // che le~ // la so questa // la sai sta cosa e lei la cristiana se n''è scesa // mhmh;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;0;;;;
PBB024;#25678;doc#1;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=289690&end=289944;289690;289944;PBB024;;00:37:15;;https://search.corpuskiparla.it/corpus/conversations/PBB024.html;https://search.corpuskiparla.it/corpus/conversations/PBB024_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;// se non quando ero a scuola le manifestazioni scolastiche che si facevano ma // d''accordo // quando capivi poco ecco //;va bene;// invece per caso dei sette segreti di bologna hai mai sentito parlare? // certo // certo // e riterresti che sia sano? eh;;;;;1;;;;;;;;;;;1;1;;;;;;;;;;;;;1;;"il ""va bene"" segnala la chiusura del topic precedente (scuola) e introduce un nuovo topic (i sette segreti di Bologna)";;
PBB024;#27269;doc#1;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=831528&end=831984;831528;831984;PBB024;;00:37:15;;https://search.corpuskiparla.it/corpus/conversations/PBB024.html;https://search.corpuskiparla.it/corpus/conversations/PBB024_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;// e qui~ può darsi che sia stato questo che mi ha traumatizzata // e da lì non ho for~ forse è questo // potrebbe darsi //;va bene;// e la festività magari invece più mh // magari anche storica il venticinque aprile // mhmh // eh mh magari hai mai //;;;;;1;;;;;;;;;;;1;1;;;;;;;;;;;;;1;;"""va bene"" funge da punto di transizione tra la chiusura di un tema e l'introduzione di un nuovo argomento; quindi ha doppia funzione metatestuale";;
PBB024;#28836;doc#1;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=1411341&end=1411679;1411341;1411679;PBB024;;00:37:15;;https://search.corpuskiparla.it/corpus/conversations/PBB024.html;https://search.corpuskiparla.it/corpus/conversations/PBB024_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;sui portici sennò anche in generale ti ascolto // se non ti viene in mente niente altrimenti nulla // no? // no // adesso //;va bene;// e san luca invece? // san luca eh // ti ripeto quando quand''ero piccola che abitavo lì ehm noi eravamo sempre al;;;;;1;;;;;;;;;;;1;1;;;;;;;;;;;;;1;;conclude tema precedente e introduce il nuovo (san Luca);;
PBB024;#30502;doc#1;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=1979512&end=1979923;1979512;1979923;PBB024;;00:37:15;;https://search.corpuskiparla.it/corpus/conversations/PBB024.html;https://search.corpuskiparla.it/corpus/conversations/PBB024_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;// che mi è sempre piaciuto tantissimo // eh ligabue vasco rossi tu~ tutti tutti quelli italiani la straniera no //;va bene;// eh sempre di hobby passioni eh parlerei del calcio adesso // // non aspettavi altro // u~ u~ una lieve passione che ho //;;;;;1;;;;;;;;;;;1;1;;;;;;;;;;;;;1;;chiude tema della musica e introduce tema del calcio;;
