corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	school-region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIPasti	KPS004	615-0	615-0	PKP034	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=1112577&end=1116759	free-conversation	02:02:15	3	symmetric	no	free	2022	LE	0-Retired	F	_	81-85	yes	_	Introduzione o ripresa del topic|Chiusura del topic	_	il pastore ne mangiava di meno // perchè era molto pesante a digerire // ah okay // sì sì // perchè era senza lievito //	comunque	tu non hai ha~ hai sentito problemi di digestione quando mangi l''orzo? // no no // ma eh in realtà io forse faccio di più il
KIPasti	KPS004	673-0	673-0	PKP034	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=1188164&end=1188938	free-conversation	02:02:15	3	symmetric	no	free	2022	LE	0-Retired	F	_	81-85	yes	Presa di turno|Richiesta di attenzione	Filler	_	// per la zuppa mischiato al latte // mh // mh cotto // sì caso mai caso mai // eh scusa cappuc~ // cappuccino d''orzo //	comunque	// beh tipo la caro da piccola lo prendeva delle volte quando eravamo in vacanza // per non bere il caffè // ma a me non mi è
KIPasti	KPS004	885-0	885-0	PKP034	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=1615363&end=1616761	free-conversation	02:02:15	3	symmetric	no	free	2022	LE	0-Retired	F	_	81-85	yes	Presa di turno	Introduzione o ripresa del topic	_	piccoli? // e quindi // delle scuole medie eh elementa~ no medie eh medie proprio // mh roba delle // settantacinque? //	comunque	c''ho quelle del kenya // sì ma infatti lo zio // non me lo immaginavo // eh allora eh allora e loro poi son andati hanno fatto
ParlaBO	PBB024	508-20	508-20	BOI091	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=1576493&end=1582026	semistructured-interview	00:37:15	2	asymmetric	yes	fixed	2023	BO	4-Clerical-Workers	F	_	46-50	yes	_	Prolettico	_	però // quando poi sono andata in @nomeazienda mi son resa conto che ho ho fatto bene a farlo nonostante avessi paura	comunque	perché poi un anno e mezzo // conoscevi tutti sapevi il lavoro eh // e quindi ogni tanto ci vuole un po'' di // eh // coraggio?
ParlaBO	PBB024	586-4	586-4	BOR030	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=1824296&end=1826952	semistructured-interview	00:37:15	2	asymmetric	yes	fixed	2023	BO	0-Students	F	_	21-25	no	_	_	_	se ne hai la possibilità // mh // o comunque // sì sì // mh un paio di volte alla settimana sì // okay bene quindi abbastanza	comunque	// sì sì sì sì sì d''inverno diciamo che // facciamo una media un po'' più // bassa perché // quando si è a casa al calduccio che
KIP	TOA3011	299-1	299-1	TO087	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=476896&end=478113	free-conversation	00:23:54	4	symmetric	no	free	2019	TO	0-Students	F	piemonte	21-25	yes	_	Riformulazione	_	// ma perché? // perché comunque in età cioè nel senso // grazie // aspetta no non è vero hai ragione // no vabbè è ug~ // età	comunque	sta c~ // cioè il problema è che non è // scusami età è comunque // non è un morfema unico? // ma non deve avere qualche
KIP	TOA3011	563-1	563-1	TO088	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=848449&end=852736	free-conversation	00:23:54	4	symmetric	no	free	2019	TO	0-Students	F	piemonte	21-25	no	_	_	_	fine sì // secondo me costa meno che // fare tutto sto bordello della vita // mi sa quindici al giorno aveva chiesto // ma	comunque	non cambia un cazzo perché anche senza cane non esistono i mezzi di trasporto // ma no senza cane ci arrangiamo ma figura~
KIP	TOA3011	585-6	585-6	TO088	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=889393&end=892174	free-conversation	00:23:54	4	symmetric	no	free	2019	TO	0-Students	F	piemonte	21-25	no	_	_	_	se non conosci il posto cosa fai // con lo zaino muori // segui le statali? // no no no // in effetti // beh l'' abbiam fatto eh	comunque	in bici // non è bello // ma no lì eravamo nei castelli della loira ma figurte // le piste ciclabili che non esistevano ma
KIP	TOA3011	672-2	672-2	TO085	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=1017859&end=1019471	free-conversation	00:23:54	4	symmetric	no	free	2019	TO	0-Students	F	lombardia	21-25	yes	_	Chiusura del topic	Intensificazione	cazzo // // // il nostro gruppo whatsapp si chiama kandinsky''s family // grande // bello // veramente? // sì // beh bello	comunque	// e no e comunque sta avendo le mestruazioni e questa cosa mi sta turbando molto // ma perché io in prima persona non ho mai
KIP	TOA3011	750-1	750-1	TO086	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=1147436&end=1151401	free-conversation	00:23:54	4	symmetric	no	free	2019	TO	0-Students	F	piemonte	21-25	no	_	_	_	// perché co~ cioè l'' importante è trovare qualcuno che sia affidabile e che magari l'' ha già fatto // che ti piace // però	comunque	a quel prezzo lo trovi tranquillamente secondo me // potrei potrei pagare anche alessia // ma alessia è qua? // xxx tanto
