corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIPasti	KPS004	3246-6	3246-6	PKP034	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=7240938&end=7244438	free-conversation	02:02:15	3	symmetric	no	free	2022	LE	0-Retired	F	puglia	81-85	yes	_	_	Approssimazione	scendevamo io c''ho una fotografia che m''è rimasta mia e delle m~ // del gruppo delle // che mh prima scendevamo giù sotto	diciamo	al piazzale // che c''erano gli alberi poi c''era la // la cosa c''era il campo da tennis e // e di là s''andava al foro italico //
ParlaBO	PBB024	30-0	30-0	BOI091	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=84937&end=88358	semistructured-interview	00:37:15	2	asymmetric	yes	fixed	2023	BO	4-Clerical-Workers	F	emilia-romagna	46-50	no	_	_	_	con me // ecco // d''accordo // mentre ritornando alla zona attuale in cui vivi eh hai pareri ti piace questa zona? //	diciamo	che a livello di traffico l''adoro // nel senso che quando vado a trovare mia mamma che abita // ancora in @nomeluogo ehm il
ParlaBO	PBB024	49-6	49-6	BOI091	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=143603&end=149720	semistructured-interview	00:37:15	2	asymmetric	yes	fixed	2023	BO	4-Clerical-Workers	F	emilia-romagna	46-50	no	_	_	_	fine ti ritrovi a doverti spostare spesso // sì // e in che zone più o meno // beh considerando che lavoro in corticella	diciamo	che quando poi devo fare qualcosa la zona che m~ // si può dire bazzico di più è quella nel senso che conosco bene quella
ParlaBO	PBB024	94-1	94-1	BOI091	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=308148&end=313249	semistructured-interview	00:37:15	2	asymmetric	yes	fixed	2023	BO	4-Clerical-Workers	F	emilia-romagna	46-50	no	_	_	_	certo // certo // e riterresti che sia sano? eh // scusa siano eh rapprasentativi quindi della cultura bolognese? // mah	diciamo	che è una cosa più turistica probabilmente che proprio culturalmente // perché diresti questo // mah // perché se pensi
ParlaBO	PBB024	425-9	425-9	BOI091	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=1323920&end=1328879	semistructured-interview	00:37:15	2	asymmetric	yes	fixed	2023	BO	4-Clerical-Workers	F	emilia-romagna	46-50	yes	_	_	Modulazione del grado di confidenza|Attenuazione	a posto // perché eh leggevo che c''è l''iniziativa di risi~ ri // non ristruttararli di vabbè mh riportarli al loro arbore	diciamo	così // certo // albore // ehm // volevo chiederti infatti appunto abbiam parlato del loro stato // ci sono anche molte
ParlaBO	PBA004	755-1	755-1	BOI060	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=1426310&end=1427760	semistructured-interview	00:57:15	4	asymmetric	yes	fixed	2022	BO	7-Plant-Operators	M	emilia-romagna	21-25	yes	_	Filler	_	// vabbè quello è tutta una parte se~ se~ assestante però si diciamo ehm ri~ ritornando all''argomento principale // ehm	diciamo	com''è // durante la settimana okay // al fine settimana o festivi // alla sera c''è // per~ non è per tutti ecco cioè sì //
ParlaBO	PBA004	905-1	905-1	BOI060	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=1725867&end=1728887	semistructured-interview	00:57:15	4	asymmetric	yes	fixed	2022	BO	7-Plant-Operators	M	emilia-romagna	21-25	yes	_	Introduzione o ripresa del topic|Filler	_	particolare più il classico vabbè uscire con gli amici ma // vabbè sì // è una cosa diciamo più // nella norma // ehm // poi	diciamo	a parte quello // una volta poi smesso non ho fatto // ho fatto un paio di anni di non dico completo abbandono ma // simile //
ParlaBO	PBA004	927-0	927-0	BOR018	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=1778560&end=1779010	semistructured-interview	00:57:15	4	asymmetric	yes	fixed	2022	BO	0-Students	F	calabria	21-25	yes	Accordo|Conferma dell'attenzione	_	_	agonistico che avevo prima non posso più riprenderlo ormai è tardi // e sono vecchio ormai ci~ uhm diciamo // ehm // sì //	diciamo	// // su quel contesto lì ormai è tardi // (l''hai preso un biscotto // grazie // ehm // però si era // nel mio caso era una
ParlaBO	PBA004	1299-4	1299-4	BOI060	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=2527330&end=2530420	semistructured-interview	00:57:15	4	asymmetric	yes	fixed	2022	BO	7-Plant-Operators	M	emilia-romagna	21-25	yes	_	Riformulazione	_	che mi è difficile diciamo ascoltare continuare ascoltare è la classica // mh // e non~ non su tutte // dipende da che mo~	diciamo	che cosa sto ascoltando // no ci sta può seccare ogni tanto // e la trovo un po'' troppo // calma // // definiamola in questa
ParlaBO	PBA004	1520-0	1520-0	BOI060	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=2969030&end=2969760	semistructured-interview	00:57:15	4	asymmetric	yes	fixed	2022	BO	7-Plant-Operators	M	emilia-romagna	21-25	yes	_	_	Attenuazione	molto // è più il genere con i video e tutto erano queste cose strane // // con immagini strane // e anche un po'' // //	diciamo	// paurose // spinte ah no // sì no beh più che spinte erano // molto dark possiamo d~ cioè molto tetre molte // eh dicevi
