corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	school-region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIPasti	KPN005	185-0	185-0	PKP018	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN005&begin=263446&end=264700	free-conversation	00:41:40	4	symmetric	no	free	2020	BO	3-Technicians	F	_	51-55	no	_	_	_	così non ci scordiamo // è quello cortesie d~ per gli ospiti // sì // secondo me è sufficiente non è freddissimo stasera //	direi	che come fuoco // sì va bene va bene // mhmh // sì col fatto che la tavernetta è più bassa è tutto molto caldino giù eh // mhmh
ParlaBO	PBC010	374-3	374-3	BOI029	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC010&begin=1567780&end=1575940	semistructured-interview	00:45:06	2	asymmetric	yes	fixed	2022	BO	2-Professionals	F	_	61-65	yes	_	Riformulazione	_	parecchio fuori bologna però sì // scuole // ah okay okay // e mh ha notato differenze in questo caso // mah sul gio~	direi	sul discorso della memoria si è sempre lavorato in qualsiasi scuola io mh sono andata insomma nel senso che // x // mh // io
ParlaBO	PBB026	1466-2	1466-2	BOR031	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB026&begin=2928900&end=2930501	semistructured-interview	01:01:20	4	asymmetric	yes	fixed	2023	BO	0-Students	M	_	21-25	no	_	_	_	scoperte // sì esatto // eh // quindi sì immagina che loro fossero o paesi un po'' più nordici dei nostri // // mhmh // eh sì	direi	di sì // quindi un po'' così // i bar ormai ci son quasi tutti cinesi per cui te fai bene a studiare il cinese // è vero sì // sì no
ParlaBO	PBB026	1542-2	1542-2	BOI093	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB026&begin=3071558&end=3075970	semistructured-interview	01:01:20	4	asymmetric	yes	fixed	2023	BO	3-Technicians	F	_	51-55	no	_	_	_	sì sì anche quello è un dolce sì sì sì // ah // quello è un dolce che è proprio tipico di ferrara // okay // mh // però cioè	direi	che i tortellini sono il top // // eh per cui niente da dire // vero buoni // ci sono differenze tra il cioè ci sono piatti che
ParlaBO	PBB026	1852-4	1852-4	BOR031	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB026&begin=3671590&end=3674490	semistructured-interview	01:01:20	4	asymmetric	yes	fixed	2023	BO	0-Students	M	_	21-25	no	_	_	_	alla fine un po'' il sapore cambia // lo senti // mhmh mh sì in base alla forma cambia sì // mh // ho capito // va bene okay io	direi	che abbiamo finito // eh // e t''è venuto appetito? // eh sì andiamo a mangiare va bene // // allora buonasera // buuonasera
KIP	TOC1003	91-0	91-0	TO006	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1003&begin=253025&end=266057	exam	00:17:47	2	asymmetric	yes	fixed	2018	TO	2-Professionals	M	piemonte	56-60	no	_	_	_	quindi può essere messo a capo di una di una singola sede // di un ramo di un ramo deleh di un ramo d'' impresa // di un ramo //	direi	che abbiamo detto tutto l'' unica cosa che dovremmo aggiungere se se la ricorda è quello che alcuni si ricordano e alcuni
KIP	TOC1003	295-0	295-0	TO006	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1003&begin=1004512&end=1009261	exam	00:17:47	2	asymmetric	yes	fixed	2018	TO	2-Professionals	M	piemonte	56-60	no	_	_	_	si tratta // esatto è gioco chi~ è parte chiamata in causa // sì // sì // comunque va bene i tipi li abbiamo individuati //	direi	che è sufficienteehmh direi che la sua è una buona preparazione mhmh // diciamo che semmai eh eh è il problema della sua
KIP	TOC1003	295-6	295-6	TO006	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1003&begin=1004512&end=1009261	exam	00:17:47	2	asymmetric	yes	fixed	2018	TO	2-Professionals	M	piemonte	56-60	no	_	_	_	chi~ è parte chiamata in causa // sì // sì // comunque va bene i tipi li abbiamo individuati // direi che è sufficienteehmh	direi	che la sua è una buona preparazione mhmh // diciamo che semmai eh eh è il problema della sua esposizione che risulta un po''
KIP	TOC1003	296-21	296-21	TO006	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1003&begin=1010104&end=1021275	exam	00:17:47	2	asymmetric	yes	fixed	2018	TO	2-Professionals	M	piemonte	56-60	no	_	_	_	buona preparazione mhmh // diciamo che semmai eh eh è il problema della sua esposizione che risulta un po'' ehmh neh non	direi	confusa perché la confusione è un'' altra cosa // èmh è è èeh mh è un'' esposizione singolare cioè un modo mh un modo di
KIP	TOA3003	313-1	313-1	TO037	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3003&begin=691671&end=692497	free-conversation	00:26:41	3	symmetric	no	free	2018	TO	0-Students	F	piemonte	21-25	no	_	_	_	vivere // costruzione collegiale del progetto // eh in più // tu vuoi mettere un disabile? o no? // nella copertina? // io	direi	di no // no // ma non avete un simbolo voi? // no // abbiamo ancora il e l'' omino // no ma è bello xxx // mi immagino xx // l'' omino
ParlaTO	PTB020	7-0	7-0	TOR009	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB020&begin=19811&end=20897	semistructured-interview	00:55:11	3	asymmetric	yes	fixed	2019	TO	0-Students	F	_	21-25	yes	_	_	Intensificazione	settentuno // ha sempre vissuto a torino? é di torino lei? // sì sono di torino sono nato in corso spezia venti quindi //	direi	é proprio di qui // é una maternità // é di torino anche i suoi genitori sono di torino? // sì i miei genitori sì // ho capito e
ParlaTO	PTB020	1001-1	1001-1	TOI069	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB020&begin=2772700&end=2780598	semistructured-interview	00:55:11	3	asymmetric	yes	fixed	2019	TO	0-Retired	F	_	66-70	no	_	_	_	mh // in generale di torino mh co~ come l''ha vissuta? le piace le é piaciuta subito // si é ambientata facilmente // sì	direi	di sì che mh mi sono ambientata facilmente all''inizio megari c''é stato un periodo che abbiamo pensato con mio marito di
ParlaTO	PTB020	1061-4	1061-4	TOI069	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB020&begin=2953307&end=2957417	semistructured-interview	00:55:11	3	asymmetric	yes	fixed	2019	TO	0-Retired	F	_	66-70	no	_	_	_	é naturale // sì // c''erano dei pezzi anche mh eh dei prati nella zona ehm // non ci sono più // non ci sono più da tanto // ed é e	direi	che é diventata sempre anche più bella come zona // nonna guarda guarda nonna // mh // dove u~ un tempo // nonna guarda
ParlaTO	PTB020	1193-5	1193-5	TOR009	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB020&begin=3300598&end=3303417	semistructured-interview	00:55:11	3	asymmetric	yes	fixed	2019	TO	0-Students	F	_	21-25	no	_	_	_	tra astigiano e il torinese? // sì c''é sempre sì sì qualcosa di diverso c''é sì sì // mh // ho capito // eh // ehm va bene io	direi	che // che va bene così // la ringrazio // s''immagini // é stata molto gentile signora // s''immagini eh non c''é di che // è
ParlaTO	PTD021	25-2	25-2	TOI013	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD021&begin=51796&end=56121	semistructured-interview	01:31:29	4	asymmetric	yes	fixed	2019	TO	7-Plant-Operators	M	_	21-25	yes	_	Esemplificazione	_	parole // è unameh è una figura professionale che // si occupa di creare la linea dalle centrale telecom // o fastweb	direi	qualsiasi altro operatore fino alla cantina // okay // okay // dei civici // okay // di abitazioni // io guido i pullman
ParlaTO	PTD021	55-1	55-1	TOR001	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD021&begin=119930&end=121305	semistructured-interview	01:31:29	4	asymmetric	yes	fixed	2019	TO	2-Professionals	F	_	26-30	yes	_	_	Approssimazione	andare a prendere l''altro pullman // quindi ancora un paio d''ore // poi torni a casa mangi fai una doccia e vai a dormire //	direi	morto // e son finite le ore sono morto e quindi // okay // ma come funziona scusa? cioè mh guidi sempre lo stesso mezzo // no
ParlaTO	PTD021	2504-5	2504-5	TOR001	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD021&begin=4698536&end=4703520	semistructured-interview	01:31:29	4	asymmetric	yes	fixed	2019	TO	2-Professionals	F	_	26-30	yes	_	_	Attenuazione	// se dovessi scegliere allo stadio // se potessi scegliere allo stadio // okay d''accordo // ehmeh okay di calcio	direi	basta altri sport avete detto? // meh no // no // poi andavo ne ho praticati tanti quindi li seguo volentieri // skate //
ParlaBO	PBC014	104-18	104-18	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC014&begin=464510&end=473850	semistructured-interview	00:45:35	2	asymmetric	yes	fixed	2022	BO	0-Students	F	_	21-25	no	_	_	_	no? // e credo che una cosa diciamo imp~ molto caratteristica di bologna siano siano i portici no? perché proprio	direi	che sia la prima osa che si nota // eh quando si e quando si equando si arriva qui no? ehm // eallora volevo volevo capire un
ParlaBO	PBC014	695-4	695-4	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC014&begin=2702630&end=2707510	semistructured-interview	00:45:35	2	asymmetric	yes	fixed	2022	BO	0-Students	F	_	21-25	no	_	_	_	certe strutture della città quindi diciamo // signorina mi scusi ma ma // ah // ha ancora molto? da // ah e allora io	direi	che più o meno ho fatto più o meno comunque ho fatto più o meno ( molte domande // sì sì no perché sa io dovrei andar via // ah ok
ParlaBO	PBC014	697-3	697-3	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC014&begin=2709090&end=2711450	semistructured-interview	00:45:35	2	asymmetric	yes	fixed	2022	BO	0-Students	F	_	21-25	no	_	_	_	o meno ho fatto più o meno comunque ho fatto più o meno ( molte domande // sì sì no perché sa io dovrei andar via // ah ok allora	direi	che se deve // cioè se deve andare dire che possiamo // no eh di fatti non ero nemmeno stabilito che dovessi star qua però
ParlaBO	PBC014	700-9	700-9	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC014&begin=2716640&end=2721526	semistructured-interview	00:45:35	2	asymmetric	yes	fixed	2022	BO	0-Students	F	_	21-25	no	_	_	_	possiamo // no eh di fatti non ero nemmeno stabilito che dovessi star qua però xxxxxxxxx // ah eh non non non lo sapevo ma	direi	che più o meno allora cioè co~ // credo di aver fatto la maggior parte delle domande // delle domande che volevo farle // va
ParlaBO	PBC014	704-3	704-3	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC014&begin=2727960&end=2730960	semistructured-interview	00:45:35	2	asymmetric	yes	fixed	2022	BO	0-Students	F	_	21-25	no	_	_	_	di aver fatto la maggior parte delle domande // delle domande che volevo farle // va bene allora posso andare? // ah beh ah	direi	di x giusto se vuole firmare solo // cioè noi e spengo e noi // quindi // mhmh // n~ niente // mi faceva gli scherzi queste
ParlaTO	TOD2002	303-6	303-6	TO081	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2002&begin=744481&end=748095	semistructured-interview	00:16:33	2	symmetric	yes	fixed	2018	TO	0-Students	F	_	21-25	yes	_	_	Modulazione del grado di confidenza	che puoi aver visto // ma non lo so // beh dipende anche cosa dovrei fare // se dovessi venire sempre all'' università	direi	non troppo lontano dall'' università // perché la cosa positiva di vivere qui sarebbe eliminare // le due ore di tragitto
ParlaBO	PBC018	509-4	509-4	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC018&begin=1569687&end=1570807	semistructured-interview	00:37:48	2	asymmetric	yes	fixed	2022	BO	0-Students	F	_	21-25	yes	_	_	Modulazione del grado di confidenza	che gli interessi ce ne siano meno // e allora // beh beh e se~ // e allora // x x // suonano il piave // che è ancora peggio	direi	// ah qua ve~ credo di averlo stampato senza volere due due volte però se vuole // in che zona di bologna vive eh eh // vivevo
ParlaTO	PTA013	125-1	125-1	TOI015	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA013&begin=202072&end=204430	semistructured-interview	00:44:45	4	asymmetric	yes	fixed	2019	TO	7-Plant-Operators	M	_	26-30	no	_	_	_	// dove sarebbe meglio lavorare secondo te? // cioè in alternativa a torino? // // un''alternativa a torino // ehm // ti	direi	o in francia o // o in spagna // okay // ma per motivi economici o perché ti ispirerebbe come paese? // no perché mi
ParlaTO	PTB018	10-1	10-1	TOI056	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB018&begin=43229&end=45308	semistructured-interview	00:54:46	2	asymmetric	yes	fixed	2019	TO	0-Retired	F	_	over85	no	_	_	_	di italiani // okay // c''è il gatto qua // // si può distinguere // tra torinese e piemontese quale le piace di più? // io	direi	torinese // se sì se è sempre stata qui direi anch''io torinese // ne ho studiate diverse ma non ne parlo nessuna // ah okay
ParlaTO	PTB018	11-7	11-7	TOR001	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB018&begin=44762&end=47751	semistructured-interview	00:54:46	2	asymmetric	yes	fixed	2019	TO	2-Professionals	F	_	26-30	no	_	_	_	// si può distinguere // tra torinese e piemontese quale le piace di più? // io direi torinese // se sì se è sempre stata qui	direi	anch''io torinese // ne ho studiate diverse ma non ne parlo nessuna // ah okay // xx // perfetto // c''è tutto // okay //
KIPasti	KPN020	454-9	454-9	PKP030	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN020&begin=951570&end=953310	free-conversation	00:30:17	3	symmetric	no	free	2020	VE	0-Students	M	_	21-25	yes	_	_	Attenuazione	a casa mia? sì sì sì ho capito qual è // sì è quello de // xxxx xxx // è quello? // eh // non so perchè avev~ un ricordo un po'' vago	direi	// non mi ricordo il nome // #si ma mi ricordo ghe zera anca i chi c''erano? aspetta i // tutti // tutti di tuo fratello tutti
KIP	TOD1005bis	425-1	425-1	TO017	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1005bis&begin=1090141&end=1094222	lecture	00:50:44	1	asymmetric	no	fixed	2018	TO	2-Professionals	M	piemonte	31-35	yes	_	_	Intensificazione	abbiamo? // come documenti della lingua araba del passato // xxx // la~ la~ la poesia okay la poesia // e l'' altro // testo	direi	piuttosto importante del passato della lingua araba // corano okay abbiamo la poesia // corano testo coranico // tu
KIPasti	KPN016	7-9	7-9	PKP057	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN016&begin=21193&end=26632	free-conversation	00:30:01	2	symmetric	no	free	2020	RE	0-Students	F	_	21-25	no	_	_	_	no // no perchè io i documenti che a loro servivano glieli ho inviati per mail // e il codice ce l''ho nel portafoglio quindi	direi	che mh // allora andiamo là direttamente conviene // ma direi di sì // direi di sì mami // cucciolo sono rilassata // sì? //
KIPasti	KPN016	9-1	9-1	PKP057	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN016&begin=29198&end=30300	free-conversation	00:30:01	2	symmetric	no	free	2020	RE	0-Students	F	_	21-25	no	_	_	_	per mail // e il codice ce l''ho nel portafoglio quindi direi che mh // allora andiamo là direttamente conviene // ma	direi	di sì // direi di sì mami // cucciolo sono rilassata // sì? // anch''io adesso // sono rilassata xxx // ero un po'' in pensiero
KIPasti	KPN016	10-0	10-0	PKP057	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN016&begin=35785&end=36989	free-conversation	00:30:01	2	symmetric	no	free	2020	RE	0-Students	F	_	21-25	no	_	_	_	// e il codice ce l''ho nel portafoglio quindi direi che mh // allora andiamo là direttamente conviene // ma direi di sì //	direi	di sì mami // cucciolo sono rilassata // sì? // anch''io adesso // sono rilassata xxx // ero un po'' in pensiero // eh
ParlaBO	PBC019	642-8	642-8	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC019&begin=2022480&end=2025227	semistructured-interview	00:34:20	2	asymmetric	yes	fixed	2022	BO	0-Students	F	_	21-25	no	_	_	_	dai anche solo per sentito dire qualcosa di solito // capita magari che // poi // sì diciamo il fatto che quanto era brutta	direi	che // non ci sia bisogno di di chiederlo quello quindi // ah direi che più o meno // ah sì okay direi che come numero come
ParlaBO	PBC019	644-1	644-1	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC019&begin=2030387&end=2031893	semistructured-interview	00:34:20	2	asymmetric	yes	fixed	2022	BO	0-Students	F	_	21-25	no	_	_	_	che // poi // sì diciamo il fatto che quanto era brutta direi che // non ci sia bisogno di di chiederlo quello quindi // ah	direi	che più o meno // ah sì okay direi che come numero come domande avremmo // abbiamo fatto più o meno quello che // sì sì //
ParlaBO	PBC019	645-3	645-3	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC019&begin=2032773&end=2036505	semistructured-interview	00:34:20	2	asymmetric	yes	fixed	2022	BO	0-Students	F	_	21-25	no	_	_	_	che quanto era brutta direi che // non ci sia bisogno di di chiederlo quello quindi // ah direi che più o meno // ah sì okay	direi	che come numero come domande avremmo // abbiamo fatto più o meno quello che // sì sì // volevo così era un po'' per parlare
ParlaBO	PBC019	656-9	656-9	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC019&begin=2057527&end=2060821	semistructured-interview	00:34:20	2	asymmetric	yes	fixed	2022	BO	0-Students	F	_	21-25	no	_	_	_	// quanto sei riuscito a fare? // eh // abbiamo parlato per eh trentaquattro minuti // quindi per più di mezz''ora anzi	direi	che qua // okay sì mi dica // quindi eham ho pensato di fare la ricerca in paragoni delle forme di cortesia e i suoi usi tra
