corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
ParlaTO	PTB009	99-1	99-1	TOR001	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB009&begin=149817&end=150779	semistructured-interview	00:47:05	3	asymmetric	yes	fixed	2019	TO	2-Professionals	F	lombardia	26-30	yes	Presa di turno	Introduzione o ripresa del topic	_	di~ gli diremo di // o facciamo noi una pausa cioè non voglio // di aspettare un a~ // tenervi prigionieri // no tanto poi //	dunque	// in quale quartiere di torino vivevi? // eh io vivevo da bambina fino alla guerra // abbiamo vissuto in corso re umberto
ParlaTO	PTB009	651-1	651-1	TOI035	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB009&begin=1233252&end=1234668	semistructured-interview	00:47:05	3	asymmetric	yes	fixed	2019	TO	0-Retired	F	piemonte	over85	yes	Presa di turno	_	_	la // eh beh sicuramente // mh mh mh mh // eh che impressione hai avuto di questo cambiamento del quartiere? // xx // ma	dunque	diciamo // la fiat ha fatto arrivare tutti questi meridionali che ne aveva bisogno // certo // e ha suscitato
ParlaBO	PBB012	314-0	314-0	BOI039	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB012&begin=675244&end=680084	semistructured-interview	00:49:50	3	asymmetric	yes	fixed	2022	BO	5-Service-Workers	M	emilia-romagna	51-55	yes	_	Prolettico	_	// insomma nelle camere a gas mentre // arpad fu portato in un campo di // di lavoro // e // resistette fino a la fine del //	dunque	dal gennaio del quarantadue poco prima della liberazione da parte dei russi del campo // ecco // ah // ah // e tutto questo
ParlaBO	PBB012	1329-2	1329-2	BOI039	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB012&begin=2924535&end=2926845	semistructured-interview	00:49:50	3	asymmetric	yes	fixed	2022	BO	5-Service-Workers	M	emilia-romagna	51-55	yes	_	Introduzione o ripresa del topic|Filler	_	la fine ecco // quale sarebbe stata la fine // mh // eh dov''è che sono conservate le lettere ha detto? ah ok // le lettere	dunque	sono a al museo ebraico // qua di bologna // sì // e so che // le hanno usate per // le hanno portate anche // in altri musei in
KIP	BOD1003	210-0	210-0	BO092	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1003&begin=925468&end=927531	lecture	01:24:11	1	asymmetric	no	fixed	2018	BO	2-Professionals	M	emilia-romagna	61-65	yes	_	Introduzione o ripresa del topic	_	anziché far del casino faceva una semplificazione incredibile di tutto // allora qual è il vantaggio? //	dunque	immaginatevi che // noi // per definire un dado abbiam bisogno dell'' oggetto fisico comunque abbiam bisogno di sei
KIP	BOD1003	439-0	439-0	BO092	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1003&begin=1900725&end=1903448	lecture	01:24:11	1	asymmetric	no	fixed	2018	BO	2-Professionals	M	emilia-romagna	61-65	yes	_	Filler	_	le uscite dei singoli dadi // questo è come se fosse le uscite tra tutte le facce comprese tra zero e ics del dado // eh //	dunque	è scritta così // in verticale // vedete dei valori complementi a zero e tre // in orizzontale ci sono i i centesimi e cioé
KIP	BOD1003	500-0	500-0	BO092	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1003&begin=2294839&end=2301866	lecture	01:24:11	1	asymmetric	no	fixed	2018	BO	2-Professionals	M	emilia-romagna	61-65	yes	_	Introduzione o ripresa del topic	_	// allora // m avete problemi su questo? // no avete le tabelle avete tutto adesso le tiro fuori anch'' io le tabelle così //	dunque	a partir dalla tabella bisogna mh dobbiamo imparare a usar la tabella quindi adesso io // no no non ho bisogno di questo
KIP	BOD1003	689-6	689-6	BO092	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1003&begin=3373223&end=3377267	lecture	01:24:11	1	asymmetric	no	fixed	2018	BO	2-Professionals	M	emilia-romagna	61-65	yes	_	Introduzione o ripresa del topic	_	l'' inquinamento è la stessa cosa // sui problemi pratici ci arriviamo però // un pochino di manualità sulla tabella	dunque	vediamo ehm // qual è la probabilità di avere dei valori che siano // superiori al doppio della deviazione standard cioè
ParlaTO	PTB002	368-1	368-1	TOI017	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB002&begin=1113330&end=1116145	semistructured-interview	01:27:40	3	asymmetric	yes	fixed	2019	TO	0-Retired	M	puglia	over85	yes	_	Riformulazione|Filler	_	// e allora io gli avevo detto ma // come mai ti trovi per fare questo lavoro qua? // e fa perché mio papà noi eh // noi	dunque	torniamo un po'' indietro // io ero all''ospedale militare // mh // partendo da~ dalla piazza adesso non mi ricordo come si
ParlaTO	PTB002	449-0	449-0	TOI017	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB002&begin=1368822&end=1377748	semistructured-interview	01:27:40	3	asymmetric	yes	fixed	2019	TO	0-Retired	M	puglia	over85	yes	_	Introduzione o ripresa del topic	_	quello che volevano loro // sì non ti // le pulizie negli uffici // eh // eh // sono andato una settimana due settimane //	dunque	mi sono congedato il ventisette di novembre del m~ del mille novecento n~ n~ n~ novantadue mi sembra // pensa // ma no che
