corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIP	TOA3011	730-3	730-3	TO087	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=1108049&end=1113443	free-conversation	00:23:54	4	symmetric	no	free	2019	TO	0-Students	F	piemonte	21-25	no	_	_	_	chiama? // il menarca // menar~ // e tra l'' altro in tutto questo disagio a luglio io la devo eh sterilizzare // sì quindi io	immagino	soltanto sto cane che pure è appena sterilizzato isterico in vacanza con noi // mai voluto un cane nella mia vita // no
ParlaBO	PBA004	103-13	103-13	BOR018	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=222440&end=226727	semistructured-interview	00:57:15	4	asymmetric	yes	fixed	2022	BO	0-Students	F	calabria	21-25	yes	_	_	Marcatura dell'inferenza	mai qua a bologna però // ti devi solo abituare un po'' // sì // secondo me è terribile cioè sono pazzi qua a guidare e voi pure	immagino	xxx // allora // // allora per esperieza mia lavorativa che viaggio in tutta italia // bologna è // un paradiso // ah per~
ParlaBO	PBA004	1046-1	1046-1	BOR018	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=2039410&end=2041730	semistructured-interview	00:57:15	4	asymmetric	yes	fixed	2022	BO	0-Students	F	calabria	21-25	yes	_	_	Modulazione del grado di confidenza	però sì non ho mai avuto a parte il basket quando ero piccolo non ho mai avuto grandi hobby // mhmh // boh a parte quello // ma	immagino	a questo punto // che eri un~ eri e sei magari un grande appassionato della virtus della cioè lo senti il // il~ il ~ la //
ParlaBO	PBA004	1110-5	1110-5	BOI061	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=2191880&end=2196930	semistructured-interview	00:57:15	4	asymmetric	yes	fixed	2022	BO	5-Service-Workers	F	emilia-romagna	21-25	yes	_	_	Marcatura dell'inferenza	invece è jamaicano // è bello cattivo // mh // e prima di questo ho fatto // e kungfu // eh un''arte marziale cinese	immagino	comunque voi facendo cinese // // eh meh no e // lì ero anche abbastanza bravina // mh ho fatto nazionali // confermo // le
KIP	BOD2001	154-32	154-32	TO999	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2001&begin=811735&end=825910	semistructured-interview	00:16:00	2	symmetric	yes	fixed	2018	BO	2-Professionals	M	piemonte	26-30	no	_	_	_	come al solito cioè se io abito in un posto non è che ho poi tanto interesse a conoscere chi chi viene da fuori perché cioè	immagino	che l'' austriaco di turno avrà il suo giro avrà // mh // mh sì esatto esatto sì poi loro son molto chiusi quindi comun~ molto
ParlaBO	PBC010	368-7	368-7	BOR001	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC010&begin=1552907&end=1556200	semistructured-interview	00:45:06	2	asymmetric	yes	fixed	2022	BO	0-Students	F	emilia-romagna	21-25	no	_	_	_	// tu riconosci nell''altro qualità che magari tu non hai // sì // sì sì // e~ ehm ehm // lei dice di essere di bologna quindi	immagino	che abbia lavorato // cioé se è qui da sette anni avrà lavorato prim~ prima in altre // sì ho lavorato parecchio fuori
KIP	BOD2005	386-2	386-2	BO073	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2005&begin=1002805&end=1003947	semistructured-interview	00:33:08	3	symmetric	yes	fixed	2018	BO	0-Students	F	basilicata	21-25	no	_	_	_	è una cosa che puoi anche immaginare cioè non che ci sta g~ lo giustifico però // si // no vab~ però uno sa che succede // me lo	immagino	// eh me lo immagino // già prima so che cosa posso trovare // che so uscivo io ogni tanto senza maurizio che aveva da fare //
KIP	BOD2005	387-3	387-3	BO073	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2005&begin=1004007&end=1004998	semistructured-interview	00:33:08	3	symmetric	yes	fixed	2018	BO	0-Students	F	basilicata	21-25	no	_	_	_	immaginare cioè non che ci sta g~ lo giustifico però // si // no vab~ però uno sa che succede // me lo immagino // eh me lo	immagino	// già prima so che cosa posso trovare // che so uscivo io ogni tanto senza maurizio che aveva da fare // ma maglie anche
KIP	BOD2006	279-14	279-14	BO049	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2006&begin=805460&end=810160	semistructured-interview	00:18:57	2	symmetric	yes	fixed	2018	BO	0-Students	F	emilia-romagna	21-25	yes	_	_	Modulazione del grado di confidenza|Attenuazione	in altre in altre band ecco diciamo vedi questa // e quindi questo cioè la musica ti porta via gran parte del tuo tempo	immagino	// non é che me lo porta via me lo porta in casa é tempo mio sì sì // si // okay // beh sì si prende una bella fetta di tempo // bene
ParlaBO	PBA021	962-5	962-5	BOR030	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA021&begin=2475863&end=2477895	semistructured-interview	00:45:31	2	asymmetric	yes	fixed	2023	BO	0-Students	F	emilia-romagna	21-25	yes	_	_	Marcatura dell'inferenza	va molto va davvero tanto // però sì ascolto generi abbastanza come dire tranquilli ecco // mh // e vai anche a concerti	immagino	// sì // assolutamente sono una patita di concerti // a quali sei andata recentemente? // recentemente ne ho fatti tre //
KIP	BOA1001	194-7	194-7	BO020	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA1001&begin=465455&end=469186	office-hours	00:37:20	2	asymmetric	no	free	2018	BO	0-Students	F	campania	21-25	no	_	_	_	non potrei fa~ cioè mh mi sembra difficile d~ raccogliere dei dati così approfonditi // eh su tante scuole anche perché	immagino	che // sì no questo non è possibile infatti cioè le domande del questionario ehmh mh // sì // per altro a risposta aperta
KIP	BOD2007	286-1	286-1	BO049	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2007&begin=726618&end=727547	semistructured-interview	00:28:12	2	symmetric	yes	fixed	2018	BO	0-Students	F	emilia-romagna	21-25	yes	Accordo	_	_	in centro però // è più raro? // cioè andare in campagna coi miei amici insomma è un'' idea che mi piacerebbe molto // eh	immagino	// feste tutte le sere // però // xxx tutte le sere // bello // no però insomma // e com'' è // alla fine anche andare in una casa
KIPasti	KPS006	131-0	131-0	PKP005	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS006&begin=215995&end=216955	free-conversation	00:34:12	5	symmetric	no	free	2020	MT	4-Clerical-Workers	M	basilicata	56-60	no	_	_	_	sarebbe andata via // è grande // non è che // eh // sarebbe stata una cosa // comunque // che sarebbe successa // xxx //	immagino	il papà // eh // anche il papà sta abbastanza male // non è che mi può accusare // che stando in campagna // io non la facevo
KIPasti	KPS006	195-0	195-0	PKP006	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS006&begin=320424&end=321395	free-conversation	00:34:12	5	symmetric	no	free	2020	MT	2-Professionals	F	basilicata	81-85	yes	Accordo|Conferma dell'attenzione	_	_	questo secondo me // il punto fondamentale è // che cosa dice la gente di questa storia // uh // più che // la cosa in sé //	immagino	// mettili tutti che fai? // è troppo mamma // ma lascia stare // xxx // xxx // di cose // xxx // eh // xx // li congelo
KIPasti	KPS006	661-3	661-3	PKP004	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS006&begin=1176794&end=1177846	free-conversation	00:34:12	5	symmetric	no	free	2020	MT	2-Professionals	F	puglia	51-55	no	_	_	_	proprio di questo // lui e // la sua equipe // vabbè il primario del sant''orsola non può essere un cazzone // eh beh lo	immagino	// ma poi le recensioni sono tutte // ottime // così quello lì // della spalla // come si chiama? // rossini // rossi~ //
KIP	TOA3012	202-0	202-0	TO089	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3012&begin=313896&end=315013	free-conversation	00:18:02	4	symmetric	no	free	2019	TO	0-Students	F	piemonte	21-25	yes	Accordo	_	_	poverella // chi? // io // ti sembro fusa? // sì // // eheh vedi? // come aldo proprio // in maniera molto molto simpatica //	immagino	// prova a firmare se riesci // è vero // non lo so bip // bip // non è che bippi te tutto te bippano loro // no no mica si bippano
ParlaBO	PBB004	226-1	226-1	BOR005	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB004&begin=402580&end=404380	semistructured-interview	00:35:54	3	asymmetric	yes	fixed	2021	BO	0-Students	M	marche	21-25	no	_	_	_	abitavo a pianoro ma ero sempre a bologna comunque cioè // mh // e // rispetto cioè quindi prima a pianoro // comunque	immagino	sia un piccolo comune // beh insomma piccolo neanche tanto insomma // è un bel comune // abbastanza grandino c''avrà non
KIPasti	KPS021	696-0	696-0	PKP126	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS021&begin=1297600&end=1299246	free-conversation	00:54:20	3	symmetric	no	free	2020	CE	0-Unemployed	M	campania	26-30	no	_	_	_	il bene però // vabbè // de gustibus alla fine // lo capisco io adesso cioè nel senso // se razionalizzo capisco perché //	immagino	che tu tip~ metti // un carciofo davanti che a me i carciofi fanno // marò buonissimi // cioè a me anche l''odore dei
KIPasti	KPS021	973-1	973-1	PKP127	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS021&begin=1871301&end=1872352	free-conversation	00:54:20	3	symmetric	no	free	2020	CE	0-Students	F	campania	26-30	yes	Accordo|Conferma dell'attenzione	_	_	le // cioè lei pe~ per lei secondo me il momento // si sentiva // più brutto della sua vita è stato perdere sua figlia // eh	immagino	// cioè ma si vede proprio // che dopo quel momento la sua vita // infatti non ne ha voluto neanche parlare oggi cioé ha
KIPasti	KPS021	1494-5	1494-5	PKP126	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS021&begin=3154422&end=3156425	free-conversation	00:54:20	3	symmetric	no	free	2020	CE	0-Unemployed	M	campania	26-30	no	_	_	_	// ua // ma stai scherzando non hai mai sentito parlare del // scuola cadute quelle fatte di amianto // ma l''amianto me lo	immagino	diverso non lo so poi eh // matteo l''amianto l''hai mai visto xx di amia~ eh quel // sì // mi sembra più // x però l''amianto
