corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIP	TOA3012	265-0	265-0|265-1	TO091	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3012&begin=426284&end=429025	free-conversation	00:18:02	4	symmetric	no	free	2019	TO	0-Students	F	umbria	21-25	yes	_	_	Modulazione del grado di confidenza	non è venuta xxx campus // non l'' ho so io non l'' ho sentita quand'' è l'' ultima voltà che l'' ho sentita? // boh // che ne so io? //	mi sa	quando c'' eri pure tu che ci siamo viste lì al bar // xx // giovedì palazzo nuovo // questo xx // e cavallerizza // ma io so //
ParlaTO	TOD2016	639-7	639-7|639-8	TO080	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2016&begin=1182057&end=1184897	semistructured-interview	00:30:39	2	symmetric	yes	fixed	2019	TO	0-Students	F	lombardia	21-25	no	_	_	_	una casa // va bene anche su vicini? // assolutamente // perché // io e la mia famiglia // la sfiga coi vicini ce l'' abbiamo	mi sa	nel di enne a // okay // eh perché // vabbè nel~ abbiamo avuto // vari problemi coi vicini // in casa e vabbè // ahah // e dici
ParlaBO	PBA004	1085-17	1085-17|1085-18	BOR018	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=2132700&end=2140680	semistructured-interview	00:57:15	4	asymmetric	yes	fixed	2022	BO	0-Students	F	calabria	21-25	yes	_	_	Modulazione del grado di confidenza	danza // // assolu~ non lo sapevi // no perchè non me l''hai mai detto esplicitamente però in un audio mandato a mattea mh	mi sa	per il suo compleanno avevi detto ah devo andare a danza e noi // // // cosa co~ // strano che io balli eh // no no non mh non
ParlaBO	PBA004	1177-18	1177-18|1177-19	BOI061	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=2307480&end=2313590	semistructured-interview	00:57:15	4	asymmetric	yes	fixed	2022	BO	5-Service-Workers	F	emilia-romagna	21-25	yes	_	_	Modulazione del grado di confidenza	p+R6:T6erchè così ci conoscevamo eccetera // e e niente // v~ v~ va da da bianchi che era cioè è suo pad~ no da tuo nonno era andata	mi sa	mi sa da tuo nonno ancora // forse mio nonno sì // e praticamente fa ah dai ve lo ve lo veniamo a predere se tu~ se mh tuo figlio
ParlaBO	PBA004	1177-20	1177-20|1177-21	BOI061	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=2307480&end=2313590	semistructured-interview	00:57:15	4	asymmetric	yes	fixed	2022	BO	5-Service-Workers	F	emilia-romagna	21-25	yes	Strategia di cortesia	_	_	così ci conoscevamo eccetera // e e niente // v~ v~ va da da bianchi che era cioè è suo pad~ no da tuo nonno era andata mi sa	mi sa	da tuo nonno ancora // forse mio nonno sì // e praticamente fa ah dai ve lo ve lo veniamo a predere se tu~ se mh tuo figlio non
ParlaTO	PTD019	192-27	192-27|192-28	TOI010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD019&begin=387316&end=394244	semistructured-interview	00:54:47	3	asymmetric	yes	fixed	2019	TO	5-Service-Workers	M	piemonte	36-40	no	_	_	_	// è vero anch''io per un un ann~ n~ netto e mezzo ero s~ andavo da barista o mentre facevo il programmatore solo nel weekend	mi sa	// okay // ehm ti piacerebbe anzi vi piacerebbe andare avanti a far sempre lo stesso lavoro oppure vi piacerebbe
ParlaBO	PBB032	1279-3	1279-3|1279-4	BOI118	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB032&begin=2483970&end=2486340	semistructured-interview	00:47:12	3	asymmetric	yes	fixed	2024	BO	2-Professionals	M	calabria	51-55	no	_	_	_	chiesa sconsacrata cos''è quella? // sì sì // c''è una festa di laurea di una nostra cugina // mh // però noi direttamente	mi sa	per federic~ // no noi non abbiamo mai organizzato a bologna // per federico andammo al villaggio della salute // mh // sì
ParlaBO	PBB017	300-7	300-7|300-8	BOR011	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB017&begin=697335&end=699541	semistructured-interview	01:06:23	2	asymmetric	yes	fixed	2022	BO	0-Students	M	sardegna	21-25	yes	Richiesta di accordo/conferma	_	_	di questa bella casa // e l''ho colta al volo e quindi me ne sono andata // e nel frattempo hai fatto mille lavori	mi sa	// nel frattempo mille lavori sì // mh mille ho cambiato tante volte perché è un settore in crisi // i tempi poi non erano
ParlaBO	PBB017	1128-5	1128-5|1128-6	BOI050	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB017&begin=2568493&end=2569947	semistructured-interview	01:06:23	2	asymmetric	yes	fixed	2022	BO	4-Clerical-Workers	F	sardegna	46-50	yes	Strategia di cortesia	_	_	impreparato // o tipo i camme~ // oppure i i ca~ i dromedari o i cammelli? non lo so insomma no no non // no è proprio lo gnu	mi sa	// sai quell''animale un po'' // strano vabbè sicuramente no~ non fa parte // // degli animali che abbiamo in europa
KIPasti	KPN030	104-0	104-0|104-1	PKP141	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN030&begin=197408&end=199829	free-conversation	00:29:50	3	symmetric	no	free	2022	BO	0-Students	F	basilicata	21-25	no	_	_	_	tutti quindi noi restiamo fuori // perchè tipo a una certa fanno altre cinque persone // c''erano dei ragazzi avanti //	mi sa	tipo una che inizia a correre nel gruppo // noi dicevamo oh ma che ro~ corri stanno gli altri // tanto sicuo~ sicuro
