corpus	conv_id	token_id	token_span	audio	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIP	BOA3003	781-3	781-3	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=1352197&end=1359010	yes	_	Prolettico	_	cosa // anch'' hio // ha ha ha ha // magari // tipo beatrice c'' è un microfono davanti a te // mh a voglia // // a te // ehm piè	praticamente	pren~ allora a me mi fa schifo l'' insalata in busta non la posso mangiare cioè proprio mi s~ fa ven'' da vomitare // mhmh //
KIP	BOA3003	859-0	859-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=1470237&end=1475356	yes	_	Prolettico	_	è uguèl // l'' è uguèl l'' è uguèl // l'' è uguèl // ué l''é tant i stéss // molto buone ste robe beatrice // eh lo dirò a mia madre //	praticamente	noi passiamo il nostro tempo a parlare di cibo sfotterci per come diciamo le cose // sì // e parliamo di nuovo di cibo? // eh
KIP	BOA3003	876-5	876-5	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=1499150&end=1506627	yes	_	Prolettico	_	no per sopprimere la fame bisogna bere un sacco d'' acqua quindi ora // io og~ sì grazie // la butto via? // son dell'' idea che	praticamente	sicuramente tra un po'' io andrò giù di sotto a prendermi le qualcosa col cioccolato // fanculo te e l'' acqua // eh gerry
KIP	BOA3003	1606-0	1606-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=3565366&end=3579649	yes	_	Prolettico	_	cognitivo // okayay // atto a okay ah okay okay okay okay questa ci sono xx atto a ehmh no devo imparare a dirla sta roba //	praticamente	essendo la realtà molto complessa ehmh l'' uomo naturalmente è portato amh a rielaborare le informazioni
KIP	BOA3003	1649-6	1649-6	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=3765317&end=3771628	yes	_	Prolettico	_	anch'' io a lavorare lì? // ho fatto una figura di merda mara // perché? // ricordati sempre che siamo // c'' era xxx che	praticamente	stava mentre scendeva le scale m'' ha fatto proprio xxxx a me // topeh // dopo gli ho detto tipo grazie e lui prego // è che
ParlaTO	TOD2011	91-9	91-9	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2011&begin=679466&end=684351	yes	_	_	Specificazione	e quasi mh tutto il giorno // emh // e // mentre la tua facoltà non è a torino giusto? // la mia facoltà è a torino però eh è	praticamente	mh fuori torino // perchéè mhpraticamente è nella zona di mirafiori // okay // emh sì e la facoltà purtroppo è molto
ParlaTO	TOD2011	115-16	115-16	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2011&begin=842080&end=857625	yes	_	Riformulazione	Specificazione	anche a torino quando ehc'' erano alcuni spettacoli // ehmh // però ehmh eh quest'' anno ho ehm eh ho scoperto deleh cus che	praticamente	è una mh un'' associazione sportiva che comprende diversi tipi di sporteh tra cui anche la danza // okay // mhmh // e ci sono
KIP	BOD1003	180-0	180-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1003&begin=779160&end=781653	yes	_	Prolettico|Esemplificazione	_	punto della singola sfera // io lo devo considerare come // un affare di questo tipo solo che di punti ne ha infiniti //	praticamente	è come se fosse una scatola // in cui ho un punto di partenza zero // e un punto di fine chiamiamolo effe // mi basta che cosa
KIP	BOD1003	594-8	594-8	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1003&begin=2850486&end=2855853	yes	_	Riformulazione	Specificazione	// quattro sette sette due? // quattro sette sette due moltiplicato due // quindi diventa nove cinque e qualcosa cioè	praticamente	quello che succede è che // tra quel valore meno i due sigma e quel la media più quel i due sigma // automaticamente vi viene
KIP	BOD2010	120-4	120-4	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2010&begin=319879&end=324015	yes	_	Prolettico	_	spazio molto personale // okay // anche perché di fatto // né i miei né mia sorella sorella ci vann~ cioè // non non ci vanno	praticamente	mai l'' ho sempre usata principalmente io // ehm ti trovi lì coi tuoi amici mi hai detto // sì // cosa cosa fate quando siete
KIP	BOD2010	256-15	256-15	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2010&begin=648620&end=653512	yes	_	Prolettico	Attenuazione	di tempo allora abbiamo detto // vabbè facciamocela in treno e ci siamo attraversati l'' italia e la francia in treno	praticamente	// è stato un bel viaggio? // sì // piacevole? // poi è stato // poi quello è stato l'' inizio del vero viaggio poi dopo // eh //
KIP	BOD2019	184-0	184-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2019&begin=423045&end=424643	yes	_	_	Specificazione|Intensificazione	la staziona è vicina il centro è vicina è vicino ce stanno // concerti in ogni dove vicini anche parecchio perché //	praticamente	casa mia è circondata da tre l~ // tre locali che fanno musica dal vivo // anzi quattro perché c'' è pure~ c'' è il locomotiv il
