corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIPasti	KPS004	532-0	532-0	PKP033	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=964632&end=966000	free-conversation	02:02:15	3	symmetric	no	free	2022	LE	2-Professionals	F	emilia-romagna	26-30	no	_	_	_	// nelle buste come xxx nelle buste ci nelle scatolette che si trovano le lenticchie i ceci no? ecco // secchi // secchi //	quindi	poi l''hai messa a bagno // l''ho messa a bagno e e prima l~ le sciaquo bene poi le metto a bagno senza niente // e le lascio
KIPasti	KPS004	3151-1	3151-1	PKP034	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=6942836&end=6944562	free-conversation	02:02:15	3	symmetric	no	free	2022	LE	0-Retired	F	puglia	81-85	yes	_	_	Marcatura dell'inferenza	quindi ministeri perchè poi ha cominciato sai // andato via il re // hanno cominciato // i ministeri // eccetera	quindi	sapendo // sapendo eh xx mio padre poi c''era il socio di mio padre che era un lavativo // che mio padre per delicatezza gli
ParlaBO	PBB024	108-9	108-9	BOR030	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=372185&end=375517	semistructured-interview	00:37:15	2	asymmetric	yes	fixed	2023	BO	0-Students	F	emilia-romagna	21-25	yes	Richiesta di accordo/conferma	_	_	da vedere // mentre per quanto riguarda le due torri? // eh considereresti magari quelle più il simbolo della città	quindi	// sì // sì sì probabilmente sì // okay // e cosa ne pensi del crollo possibile della garisenda // e mi preoccupa mi
ParlaBO	PBB024	239-0	239-0	BOR030	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=736695&end=739542	semistructured-interview	00:37:15	2	asymmetric	yes	fixed	2023	BO	0-Students	F	emilia-romagna	21-25	yes	_	Introduzione o ripresa del topic	_	quindi // o a casa con gli amici a fare i giochi di società // o da soli a guardare un film e mangiarci una pizza // non //	quindi	magari scendere in piazza e guardare i fuochi // xxx // no zero // no ze~ l''ho fatto eh perché quando s~ quando ero giovane
ParlaBO	PBB024	300-10	300-10	BOI091	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=919922&end=925693	semistructured-interview	00:37:15	2	asymmetric	yes	fixed	2023	BO	4-Clerical-Workers	F	emilia-romagna	46-50	no	_	_	_	fare soprattutto magari vicino a ferragosto // // a ferragosto ehm // è un periodo molto caldo dove tutti vanno in ferie	quindi	se posso lo evito a livello di vacanze proprio perché // trovi tanta gente eh è difficile muoversi in spiaggia // c''è
ParlaBO	PBB024	550-22	550-22	BOI091	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=1712922&end=1720027	semistructured-interview	00:37:15	2	asymmetric	yes	fixed	2023	BO	4-Clerical-Workers	F	emilia-romagna	46-50	yes	_	Chiusura del topic	_	eh poi dopo ho smesso la pa~ pallamano lo facevo proprio in una squadra quindi andavamo a giocare fuori facevamo i tornei	quindi	proprio // eh poi mi hanno chiamato a giocare a calcetto ho fatto qualche anno di calcetto // ho provato a giocare //
KIP	TOA3011	453-0	453-0	TO087	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=688238&end=690970	free-conversation	00:23:54	4	symmetric	no	free	2019	TO	0-Students	F	piemonte	21-25	no	_	_	_	eh ah io gli dico no però sta diventa~ // non è vero // ah // cioè no mio nonno era sordo e mio padre lo sta diventando // okay //	quindi	non sente un cazzo io gli dico le cose e lui ogni volta // la colpa è il fatto che io ho difetti di pronuncia // // non che lui
ParlaBO	PBA004	602-1	602-1	BOI060	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=1118340&end=1120810	semistructured-interview	00:57:15	4	asymmetric	yes	fixed	2022	BO	7-Plant-Operators	M	emilia-romagna	21-25	yes	_	Prolettico	_	co sti bimbetti di sei sette anni // c''abbiamo messo tipo non so quanto tempo // terribile // era una giornata // calda	quindi	per fortuna non era niente di // eh però a piedi // però sì c''abbiamo messo un po'' abbiamo fatto non so quante pause fra una
ParlaBO	PBA004	992-1	992-1	BOI060	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=1920970&end=1922275	semistructured-interview	00:57:15	4	asymmetric	yes	fixed	2022	BO	7-Plant-Operators	M	emilia-romagna	21-25	yes	_	Introduzione o ripresa del topic	_	e quindi cercavo proprio di il pallone no // no no sì sì // per non soffrire // e // esattamente // peccato mi dispiace // e	quindi	// dopo quello in realtà non ho avuto granchè grandi hobby ecco // mh // e poi vabbè adesso mi son fatto di nuovo male quindi
ParlaBO	PBA004	1514-7	1514-7	BOI060	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=2952900&end=2957070	semistructured-interview	00:57:15	4	asymmetric	yes	fixed	2022	BO	7-Plant-Operators	M	emilia-romagna	21-25	yes	_	Chiusura del topic	_	al cortile // però erano bravi eh mi sono divertita un sacco // sì no ma eh eh diciamo // se // più che per eh brav~ ero piccolo	quindi	non è che mi mi interessasse molto // è più il genere con i video e tutto erano queste cose strane // // con immagini strane
