corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	school-region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
ParlaTO	PTB009	1039-2	1039-2	TOI035	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB009&begin=2027669&end=2031054	semistructured-interview	00:47:05	3	asymmetric	yes	fixed	2019	TO	0-Retired	F	_	over85	yes	Marcatura della conoscenza condivisa	Riformulazione	_	ambienti piccoli ci sono tante cose che non vanno bene // per cui io no // non ti piaceva? // no // troppo chiuso? // c''era	sai	c''è sempre una cricca che comanda in tutte le // in tutte le comunità chiuse // eh che si fa un po'' gli affari suoi eh // okay
ParlaTO	PTB009	1062-2	1062-2	TOI035	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB009&begin=2073858&end=2077753	semistructured-interview	00:47:05	3	asymmetric	yes	fixed	2019	TO	0-Retired	F	_	over85	no	_	_	_	// // ha f~ fatto un po'' la turista adesso // eh sì eh sì siamo andati al parco san vito che è bellissimo // vabbè // forse non	sai	neanche che esiste è sotto la chiesetta di san vito // xxx no beh // su per la collina dai è vicino qui si sale su dalla strada
ParlaTO	PTB009	1413-5	1413-5	TOI035	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB009&begin=2799369&end=2803502	semistructured-interview	00:47:05	3	asymmetric	yes	fixed	2019	TO	0-Retired	F	_	over85	yes	Marcatura della conoscenza condivisa	_	_	l''altro giorno // va bene io ti ringrazio tantissimo per il tempo // grazie mille davvero // a me è piaciuto raccontare	sai	ai vecchi piace raccontare la propria vita // ah perfetto a me anche quindi siamo a posto // // // grazie ancora // ed è
KIP	TOA3012	124-2	124-2	TO090	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3012&begin=200488&end=202036	free-conversation	00:18:02	4	symmetric	no	free	2019	TO	0-Students	F	piemonte	21-25	no	_	_	_	classico? // solo il luogo // liceo giacomo leopardi // no la città la città // torino // torino // vabbè adesso	sai	anche il mio liceo // vabbè va bene // ben venga // anch'' io scriverà il mio liceo xxx // vai così non mi fai sembrare stupid
ParlaBO	PBB023	592-2	592-2	BOI087	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB023&begin=1510907&end=1516620	semistructured-interview	00:33:46	4	asymmetric	yes	fixed	2023	BO	4-Clerical-Workers	M	_	51-55	no	_	_	_	la preparazione invernale a san luca e dovevamo fare i portici entro i quattordici minuti // io no // mamma mia // tu non	sai	quante volte ho vomitato io arrivato su perchè ti assicuro quattordici minuti son pochissimi // // son veramente
ParlaBO	PBB023	601-10	601-10	BOR026	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB023&begin=1536540&end=1541140	semistructured-interview	00:33:46	4	asymmetric	yes	fixed	2023	BO	0-Students	M	_	21-25	yes	Marcatura della conoscenza condivisa	Marca di generalizzazione	_	è che io a san luca ci fossi andato per altri motivi se non quelli ecco // no certo certo sì anch''io mi riferivo al panorama	sai	al // io al panorama e poi io ho anche mangiato su a san luca // sì? // sì ogni tanto andavo anche io andavo su da vito da vito //
ParlaBO	PBB023	623-3	623-3	BOI087	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB023&begin=1576300&end=1579710	semistructured-interview	00:33:46	4	asymmetric	yes	fixed	2023	BO	4-Clerical-Workers	M	_	51-55	no	_	_	_	altre zone d''italia non lo so // o è una cosa generazionale un po'' secondo voi // sai che è una bella domanda e non // non lo so	sai	che non lo so sinceramente no // non // sai che non ti saprei dare una risposta // non lo so // non lo so di sicuro noi ad
ParlaBO	PBB023	625-0	625-0	BOI088	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB023&begin=1580540&end=1582094	semistructured-interview	00:33:46	4	asymmetric	yes	fixed	2023	BO	4-Clerical-Workers	F	_	51-55	no	_	_	_	generazionale un po'' secondo voi // sai che è una bella domanda e non // non lo so sai che non lo so sinceramente no // non //	sai	che non ti saprei dare una risposta // non lo so // non lo so di sicuro noi ad esempio ci siamo sposati in comune ma per scelta
ParlaTO	PTA012	107-1	107-1	TOI014	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA012&begin=215300&end=217270	semistructured-interview	00:30:28	3	asymmetric	yes	fixed	2019	TO	0-Unemployed	M	_	16-20	no	_	_	_	meglio? // sarebbe più semplice? // mh // sicuramente il turismo aiuta molto // perché quando tu hai un negozio // e	sai	gestirlo bene // mh molt~ mh diciamo che ci sono molte più possibilità // che la gente entri dia un''occhiata che si
ParlaBO	PBB012	796-1	796-1	BOI039	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB012&begin=1794965&end=1797665	semistructured-interview	00:49:50	3	asymmetric	yes	fixed	2022	BO	5-Service-Workers	M	_	51-55	yes	Marcatura della conoscenza condivisa	_	_	per esempio delle elementari bombicci // su queste vicende così all''inizio era un po'' titubante poi invece // dopo	sai	trovandosi davanti ai bambini // mh // e i bambini aveva era uscivano entusiasti // // // eh lorenzo lorenzo // e allora
ParlaTO	TOD2016	187-3	187-3	TO080	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2016&begin=385783&end=389689	semistructured-interview	00:30:39	2	symmetric	yes	fixed	2019	TO	0-Students	F	_	21-25	no	_	_	_	più o meno piccole paesini // confinanti uno con l'' altro // ogni // attaccati proprio // attaccate // okay // e quindi non	sai	dove inizia uno e finisce un altro a meno che non vedi un cartello // certo // quindi noi effettivamente siamo in
ParlaTO	PTB019	1406-8	1406-8	TOI071	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB019&begin=2417887&end=2421585	semistructured-interview	00:43:39	3	asymmetric	yes	fixed	2019	TO	0-Retired	F	_	66-70	yes	Marcatura della conoscenza condivisa	Filler	_	// devi andare fuori torino per esem~ c''è il mio consuocero che ogni tanto parla // e qualcu~ uno lo senti parlare ma poi	sai	// noneh // se poi parlano stretto non lo capisco proprio // se parlano stretto non lo capisco // e i vostri figli lo
ParlaBO	PBA004	437-6	437-6	BOR018	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=852760&end=855400	semistructured-interview	00:57:15	4	asymmetric	yes	fixed	2022	BO	0-Students	F	_	21-25	no	_	_	_	io non lo so anche il fatto ci sono alcuni che puliscono dopo e non lo sopporto pulisci subito // eh // oppure eh però che ne	sai	alcuni // non so si seccano non puoi neanche tanto insistere // con alcuni // ma p~ poi cioè dipende // e anche // dipende
ParlaBO	PBA004	1199-3	1199-3	BOI060	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=2358220&end=2359230	semistructured-interview	00:57:15	4	asymmetric	yes	fixed	2022	BO	7-Plant-Operators	M	_	21-25	yes	Marcatura della conoscenza condivisa	_	_	dietro casa nella parte di dietro che è in discesa // e // a forza di girare girare girare girare ovviamente // dopo un po''	sai	// prendi il ritmo ed inizi ad andar // mh // e niente vado giù per questa discesa ehm sinceramente non ricordo il motivo
KIPasti	KPS008	66-1	66-1	PKP040	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS008&begin=265665&end=268395	free-conversation	00:29:53	3	symmetric	no	free	2020	BR	4-Clerical-Workers	F	_	51-55	no	_	_	_	un un pino una cosa del genere // # ho detto ad antonello antonè mo che nasce tua nipote na foresta chiantu // // ieri	sai	perchè li ho riconosciuti alla conad? // mh // perchè ho visto uno che guardava un cane che era entrato alla conad stava
KIPasti	KPS008	312-6	312-6	PKP040	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS008&begin=1447719&end=1449369	free-conversation	00:29:53	3	symmetric	no	free	2020	BR	4-Clerical-Workers	F	_	51-55	no	_	_	_	// di tasse? // vuoi? // no // mo stanno quelli là // xx xx // che assumeranno // e metteranno in cassa integrazione lo	sai	no? // be non credo che si possa fare // be eppure molte // mo col centro dell''impiego si vede subito eh // alcuni li hanno
ParlaTO	PTB002	314-5	314-5	TOI017	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB002&begin=971219&end=976063	semistructured-interview	01:27:40	3	asymmetric	yes	fixed	2019	TO	0-Retired	M	_	over85	yes	Marcatura della conoscenza condivisa	_	_	una ragazza // ti metteva no per carità // non si poteva // eh chi è che ti diceva ma magari // se non // oh ma quella eh quella	sai	è uscita con quello là questa ragazza perdeva tutto // eh sì poverina certo // eh niente allora niente // volevo ballare
KIP	TOA3005	45-2	45-2	T0032	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3005&begin=185748&end=190573	free-conversation	00:31:26	2	symmetric	no	free	2018	TO	0-Students	M	piemonte	21-25	no	_	_	_	// ha detto che era venuta male perché l'' uovo si era rappreso // quindi // no va bene ma è anche gusto personale eh // sì ma	sai	come sono i romani pretendono di sapere loro come si fa tutto quindi // mi fido anche // lei poi fa una pasta eccezionale //
KIP	TOA3005	128-7	128-7	T0032	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3005&begin=471513&end=474393	free-conversation	00:31:26	2	symmetric	no	free	2018	TO	0-Students	M	piemonte	21-25	no	_	_	_	ieri non è stata apprezzata abbastanza // perché? // che mondo di xxx // solo venti likes // un mondo di ingoranza sarà che	sai	come xxx // no eh allora posso dirti una cosa? dipende anche all'' ora in cui lo metti l'' ho messa ieri alle tre e tre non è un''
