corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIP	BOA3003	232-4	232-4	BO017	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=373786&end=374849	free-conversation	01:20:01	4	symmetric	no	free	2018	BO	0-Students	F	emilia-romagna	21-25	yes	Cessione del turno	_	Intensificazione	lombardia // cenci e donzelli in toscana // frappe e sfrappole in emilia cros~ crostoli in trentino // dov'' è la romanga	scusa?	// dov'' è la romagna // perché l'' emilia e basta? // ehmh // secondo me inehtendeva anche romagna ma sono tutti ignoranti e
KIP	BOA3003	431-2	431-2	BO019	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=666125&end=669114	free-conversation	01:20:01	4	symmetric	no	free	2018	BO	0-Students	F	lombardia	21-25	yes	Richiesta di attenzione	Filler	_	// eh ma è troppo lontano non cen'' è una più vi~ // eh lo so ma almeno ti muovi // aula sette // ma che cavolo urlate // sette ma	scusa	da qua l'' aula sette è lontana eh // no non è lontana // quanto costa? // quaranta quaranta // cinquanta quaranta // ti devo
KIP	BOA3003	473-2	473-2	BO018	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=737431&end=738663	free-conversation	01:20:01	4	symmetric	no	free	2018	BO	0-Students	F	toscana	21-25	yes	Cessione del turno	_	Intensificazione	eh // devono scrivere // ma lo pensano che tu sia xxx // cara mara rossi come scrive bianchi // perché dottoressa	scusa	// ma basta scrivere gentile // ma chi è che ti scrive // // leh i p~ i professori delle scuole // // vabbè oh minchia // ah
KIP	BOA3003	676-0	676-0	BO016	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=1183826&end=1184351	free-conversation	01:20:01	4	symmetric	no	free	2018	BO	0-Students	F	emilia-romagna	21-25	no	_	_	_	se mi dava le bottiglie d'' acqua e gli davo i soldi mami ha detto di no cioè m'' ha guardato malissimo scusami cioè non è che //	scusa	// e te gli hai fatto oh calma // no gli ho detto va bene grazie non c'' avevo voglia di andare giù peròh pohi sohno dovuhta
KIP	BOA3003	1028-1	1028-1	BO019	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=1750870&end=1752454	free-conversation	01:20:01	4	symmetric	no	free	2018	BO	0-Students	F	lombardia	21-25	yes	Presa di turno|Interruzione|Strategia di cortesia	Introduzione o ripresa del topic	_	che bella foto // ma io voglio vede'' una cosa // se qualcuno m'' ha accettato la richiesta ha ha // oh mio dio beatrice // ma	scusa	non te l'' ha ancora accettata? // boh ora guardo gua~ mi abbia cancellata // ma secondo me sì perché // secondo me l'' ha
KIP	BOA3003	1149-0	1149-0	BO019	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=1951320&end=1952548	free-conversation	01:20:01	4	symmetric	no	free	2018	BO	0-Students	F	lombardia	21-25	no	_	_	_	ho risposto sì perché gli avevo avevo risposto anche all'' altra domanda che lei non sapeva // hai preso trenta e lode te //	scusa	xxxxxx // ah // devi rispondere alle domande che gli altri non sanno // comunque di voti sono alti // sì // io non mi voglio
KIP	BOA3003	1386-13	1386-13	BO017	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=2459684&end=2462673	free-conversation	01:20:01	4	symmetric	no	free	2018	BO	0-Students	F	emilia-romagna	21-25	yes	Richiesta di accordo/conferma|Cessione del turno	_	Intensificazione	ah io vado a cercare sofia dopo se no // comunque lei è forte // lei è fantastica io l'' adoro la vado a cercare nel suo studio	scusa	eh // fai bene // mi fai un favore? mi guardi che orari dov'' è a quest'' ora? tipo nelle cose nei tipo nei negli orari cioè tipo
KIP	BOA3003	1538-1	1538-1	BO017	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=3248656&end=3249476	free-conversation	01:20:01	4	symmetric	no	free	2018	BO	0-Students	F	emilia-romagna	21-25	yes	Accordo	_	Intensificazione	// cioè posso capire magari se tipo non ti risponde uno e ti risponde l'' altro // // però non va bene comunque // cioè	scusa	eh // oppure magari prendono il numero e ti richiamano // ma io te lo giuro io mi son resa conto chemh qua non andava bene dal
KIP	BOA3003	1631-0	1631-0	BO018	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=3656613&end=3658014	free-conversation	01:20:01	4	symmetric	no	free	2018	BO	0-Students	F	toscana	21-25	yes	Presa di turno|Strategia di cortesia	_	Attenuazione	bacio accademico // xx // bacio accademico con arancioni subito // pomiciata accademica // // oh che bello //	scusa	mettilo qua sopra // no nonono // per~ // poi lo butto giù mi sento troppo // no oppure portarlo dentro portalo dentro
ParlaTO	PTD010	619-4	619-4	TOI065	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD010&begin=884182&end=886861	semistructured-interview	00:59:08	3	asymmetric	yes	fixed	2019	TO	2-Professionals	F	piemonte	36-40	yes	Strategia di cortesia	Introduzione o ripresa del topic	_	del centro anche // eh // sì // forse // va~ vanchiglia sicuramente eh // intorno al politecnico // no // bah // beh dio mio	scusa	la zona di via monginevro // // sì // dai // però // quelle son zone corso mediterraneo // ca~ ba~ forse cambiate no // beh //
