corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIPasti	KPS004	37-0	37-0|37-1	PKP033	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=69915&end=70502	free-conversation	02:02:15	3	symmetric	no	free	2022	LE	2-Professionals	F	emilia-romagna	26-30	yes	Accordo	_	_	i fiori // i fiori li teniamo // allora vediamo se fa x // se ti ci metto un po'' di scamorza dentro la mangi? // eh va bene sì //	va bene	// xxxxxx // tutto a posto // // // devo togliere la buccia? // io la ma~ io la mangio è la parte più saporita // no no io non la
KIPasti	KPS004	427-0	427-0|427-1	PKP033	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=793797&end=796311	free-conversation	02:02:15	3	symmetric	no	free	2022	LE	2-Professionals	F	emilia-romagna	26-30	yes	_	Introduzione o ripresa del topic	_	essere una conversazione non // una conversazione io parlo molto io parlo sai // // io adesso mentre parlo xxx // mh //	va bene	allora adesso registriamo così poi glielo mando // ti verrà la sete però caro mio // senti qua non riesco a farlo che devo
KIPasti	KPS004	804-0	804-0|804-1	PKP033	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=1438816&end=1439442	free-conversation	02:02:15	3	symmetric	no	free	2022	LE	2-Professionals	F	emilia-romagna	26-30	yes	Accordo	_	_	così // un po'' selezionate che le devi vedere tu // ah // qualcuna se vuoi te la puoi scegliere e pure prenderla //	va bene	// ma me ne avevi già data qualcuna // ma io voglio vede~ // eh? // io voglio vedere quelle di veracruz quelle lì quelle dei
KIPasti	KPS004	2079-9	2079-9|2079-10	PKP035	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=4058397&end=4061663	free-conversation	02:02:15	3	symmetric	no	free	2022	LE	0-Retired	M	puglia	over 85	yes	Cessione del turno	_	_	è ve~ non sentire il nonno il nonno non mi non mi piace perchè non sa dire le cose // con me non sei andata bene perché io dico	va bene	vai io mi fermo qua // no comunque // andammo col pullmann // eh // io mi ricordo a quei tempi xx // ma non è stata male? // è
KIPasti	KPS004	2443-0	2443-0|2443-1	PKP033	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=4995496&end=4995949	free-conversation	02:02:15	3	symmetric	no	free	2022	LE	2-Professionals	F	emilia-romagna	26-30	yes	Richiesta di accordo/conferma	_	_	// più // meno speciali // te le lascio // mhmh // e mi prendo questa qui // ma te l''ho eh // e mi prendo il maglioncino //	va bene?	// ti puoi prendere tutto quello che vuoi // no ma troppe cose non c~ non le voglio // se mi dici che te le porto io sopra dimmi
KIPasti	KPS004	3009-4	3009-4|3009-5	PKP034	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=6506734&end=6507695	free-conversation	02:02:15	3	symmetric	no	free	2022	LE	0-Retired	F	puglia	81-85	yes	Accordo	_	_	lei ha detto // la porto con me no? // e invece non era non era per dire ha detto ma dov''è capito? // mia madre dice sì	va bene	// però poi non sei curata che ha det~ che ha // che le~ // la so questa // la sai sta cosa e lei la cristiana se n''è scesa // mhmh
ParlaBO	PBB024	88-0	88-0|88-1	BOR030	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=289690&end=289944	semistructured-interview	00:37:15	2	asymmetric	yes	fixed	2023	BO	0-Students	F	emilia-romagna	21-25	yes	_	Introduzione o ripresa del topic|Chiusura del topic	_	// se non quando ero a scuola le manifestazioni scolastiche che si facevano ma // d''accordo // quando capivi poco ecco //	va bene	// invece per caso dei sette segreti di bologna hai mai sentito parlare? // certo // certo // e riterresti che sia sano? eh
ParlaBO	PBB024	270-0	270-0|270-1	BOR030	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=831528&end=831984	semistructured-interview	00:37:15	2	asymmetric	yes	fixed	2023	BO	0-Students	F	emilia-romagna	21-25	yes	_	Introduzione o ripresa del topic|Chiusura del topic	_	// e qui~ può darsi che sia stato questo che mi ha traumatizzata // e da lì non ho for~ forse è questo // potrebbe darsi //	va bene	// e la festività magari invece più mh // magari anche storica il venticinque aprile // mhmh // eh mh magari hai mai //
ParlaBO	PBB024	459-0	459-0|459-1	BOR030	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=1411341&end=1411679	semistructured-interview	00:37:15	2	asymmetric	yes	fixed	2023	BO	0-Students	F	emilia-romagna	21-25	yes	_	Introduzione o ripresa del topic|Chiusura del topic	_	sui portici sennò anche in generale ti ascolto // se non ti viene in mente niente altrimenti nulla // no? // no // adesso //	va bene	// e san luca invece? // san luca eh // ti ripeto quando quand''ero piccola che abitavo lì ehm noi eravamo sempre al
ParlaBO	PBB024	633-0	633-0|633-1	BOR030	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=1979512&end=1979923	semistructured-interview	00:37:15	2	asymmetric	yes	fixed	2023	BO	0-Students	F	emilia-romagna	21-25	yes	_	Introduzione o ripresa del topic|Chiusura del topic	_	// che mi è sempre piaciuto tantissimo // eh ligabue vasco rossi tu~ tutti tutti quelli italiani la straniera no //	va bene	// eh sempre di hobby passioni eh parlerei del calcio adesso // // non aspettavi altro // u~ u~ una lieve passione che ho //
KIP	TOA3011	171-0	171-0|171-1	TO085	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=263212&end=264208	free-conversation	00:23:54	4	symmetric	no	free	2019	TO	0-Students	F	lombardia	21-25	yes	Accordo	Introduzione o ripresa del topic	_	le hai fatte? // dove hai fatto le supe~ // ah le superiori a torino // scrivi anche solo torino // ormai ho scritto xxx //	va bene	// quindi eravate compagne di classe // ma in realtà più o meno // per un mese e mezzo // per un mese e mezzo // ah // no perché
