Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Introduzione di topic/passaggio a un nuovo topic/ripresa di un topic allora, quindi, dopo di che ecc.;Chiusura di un topic;Riformulazione;Digressione;Marcatura di citazione/discorso riportato;Esemplificazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Intensificazione;Polifunzionalità
KPN005;#22732;doc#4;2020;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN005&begin=263446&end=264700;263446;264700;PKP018;KPN005;00:41:40;libero;https://search.corpuskiparla.it/corpus/conversations/KPN005.html;https://search.corpuskiparla.it/corpus/conversations/KPN005_jefferson.html;51-55;F;BO;4;tec;no;simmetrico;emilia-romagna;pasto;dip_tec_prof;così non ci scordiamo // è quello cortesie d~ per gli ospiti // sì // secondo me è sufficiente non è freddissimo stasera //;direi;che come fuoco // sì va bene va bene // mhmh // sì col fatto che la tavernetta è più bassa è tutto molto caldino giù eh // mhmh;1;;;;;;;;;;;;;;;;;;;;;;;0
PBC010;#35277;doc#5;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC010&begin=1567780&end=1575940;1567780;1575940;BOI029;PBC010;00:45:06;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC010.html;https://search.corpuskiparla.it/corpus/conversations/PBC010_jefferson.html;61-65;F;BO;2;intell;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea;parecchio fuori bologna però sì // scuole // ah okay okay // e mh ha notato differenze in questo caso // mah sul gio~;direi;sul discorso della memoria si è sempre lavorato in qualsiasi scuola io mh sono andata insomma nel senso che // x // mh // io;;;;;1;;;;;;;;;;;;1;;;;;;;0
PBB026;#48250;doc#6;2023;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB026&begin=2928900&end=2930501;2928900;2930501;BOR031;PBB026;01:01:20;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB026.html;https://search.corpuskiparla.it/corpus/conversations/PBB026_jefferson.html;21-25;M;BO;4;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;scoperte // sì esatto // eh // quindi sì immagina che loro fossero o paesi un po'' più nordici dei nostri // // mhmh // eh sì;direi;di sì // quindi un po'' così // i bar ormai ci son quasi tutti cinesi per cui te fai bene a studiare il cinese // è vero sì // sì no;;;;;1;1;;;1;;;;;;;;;;;;;1;;1
PBB026;#48740;doc#6;2023;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB026&begin=3071558&end=3075970;3071558;3075970;BOI093;PBB026;01:01:20;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB026.html;https://search.corpuskiparla.it/corpus/conversations/PBB026_jefferson.html;51-55;F;BO;4;tec;sì;asimmetrico;emilia-romagna;intervista semistrutturata;dip_tec_prof;sì sì anche quello è un dolce sì sì sì // ah // quello è un dolce che è proprio tipico di ferrara // okay // mh // però cioè;direi;che i tortellini sono il top // // eh per cui niente da dire // vero buoni // ci sono differenze tra il cioè ci sono piatti che;1;;;;;;;;;;;;;;;;;;;;;;;0
PBB026;#50807;doc#6;2023;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB026&begin=3671590&end=3674490;3671590;3674490;BOR031;PBB026;01:01:20;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB026.html;https://search.corpuskiparla.it/corpus/conversations/PBB026_jefferson.html;21-25;M;BO;4;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;alla fine un po'' il sapore cambia // lo senti // mhmh mh sì in base alla forma cambia sì // mh // ho capito // va bene okay io;direi;che abbiamo finito // eh // e t''è venuto appetito? // eh sì andiamo a mangiare va bene // // allora buonasera // buuonasera;1;;;;;;;;;;;;;;;;;;;;;;;0
TOC1003;#51602;doc#7;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1003&begin=253025&end=266057;253025;266057;TO006;TOC1003;00:17:47;fisso;https://search.corpuskiparla.it/corpus/conversations/TOC1003.html;https://search.corpuskiparla.it/corpus/conversations/TOC1003_jefferson.html;56-60;M;TO;2;intell;sì;asimmetrico;piemonte;esame;phd;quindi può essere messo a capo di una di una singola sede // di un ramo di un ramo deleh di un ramo d'' impresa // di un ramo //;direi;che abbiamo detto tutto l'' unica cosa che dovremmo aggiungere se se la ricorda è quello che alcuni si ricordano e alcuni;1;;;;;;;;;;;;;;;;;;;;;;;0
TOC1003;#53831;doc#7;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1003&begin=1004512&end=1009261;1004512;1009261;TO006;TOC1003;00:17:47;fisso;https://search.corpuskiparla.it/corpus/conversations/TOC1003.html;https://search.corpuskiparla.it/corpus/conversations/TOC1003_jefferson.html;56-60;M;TO;2;intell;sì;asimmetrico;piemonte;esame;phd;si tratta // esatto è gioco chi~ è parte chiamata in causa // sì // sì // comunque va bene i tipi li abbiamo individuati //;direi;che è sufficienteehmh direi che la sua è una buona preparazione mhmh // diciamo che semmai eh eh è il problema della sua;1;;;;;;;;;;;;;;;;;;;;;;;0
TOC1003;#53835;doc#7;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1003&begin=1004512&end=1009261;1004512;1009261;TO006;TOC1003;00:17:47;fisso;https://search.corpuskiparla.it/corpus/conversations/TOC1003.html;https://search.corpuskiparla.it/corpus/conversations/TOC1003_jefferson.html;56-60;M;TO;2;intell;sì;asimmetrico;piemonte;esame;phd;chi~ è parte chiamata in causa // sì // sì // comunque va bene i tipi li abbiamo individuati // direi che è sufficienteehmh;direi;che la sua è una buona preparazione mhmh // diciamo che semmai eh eh è il problema della sua esposizione che risulta un po'';1;;;;;;;;;;;;;;;;;;;;;;;0
TOC1003;#53863;doc#7;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1003&begin=1010104&end=1021275;1010104;1021275;TO006;TOC1003;00:17:47;fisso;https://search.corpuskiparla.it/corpus/conversations/TOC1003.html;https://search.corpuskiparla.it/corpus/conversations/TOC1003_jefferson.html;56-60;M;TO;2;intell;sì;asimmetrico;piemonte;esame;phd;buona preparazione mhmh // diciamo che semmai eh eh è il problema della sua esposizione che risulta un po'' ehmh neh non;direi;confusa perché la confusione è un'' altra cosa // èmh è è èeh mh è un'' esposizione singolare cioè un modo mh un modo di;1;;;;;;;;;;;;;;;;;;;;;;;0
TOA3003;#62458;doc#9;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3003&begin=691671&end=692497;691671;692497;TO037;TOA3003;00:26:41;libero;https://search.corpuskiparla.it/corpus/conversations/TOA3003.html;https://search.corpuskiparla.it/corpus/conversations/TOA3003_jefferson.html;21-25;F;TO;3;stud;no;simmetrico;piemonte;conversazione libera;laurea in corso;vivere // costruzione collegiale del progetto // eh in più // tu vuoi mettere un disabile? o no? // nella copertina? // io;direi;di no // no // ma non avete un simbolo voi? // no // abbiamo ancora il e l'' omino // no ma è bello xxx // mi immagino xx // l'' omino;1;;;;;;;;;;;;;;;;;;;;;;;0
