word;Frequency;" ""% of concordance""";SegnaleDiscorsivo
sì sì;6762; 0.40345;yes
mh mh;4887; 0.29158;yes
no no;2961; 0.17667;yes
e poi;2863; 0.17082;yes
non so;2836; 0.16921;yes
e quindi;2793; 0.16664;yes
secondo me;1969; 0.11748;yes
lo so;1853; 0.11056;yes
nel senso;1644; 0.09809;yes
una cosa;1573; 0.09385;yes
eh sì;1446; 0.08627;yes
in realtà;1436; 0.08568;yes
va bene;1434; 0.08556;yes
è vero;1289; 0.07691;yes
mi ricordo;1153; 0.06879;yes
no ma;1102; 0.06575;yes
alla fine;1068; 0.06372;yes
ah okay;945; 0.05638;yes
ho capito;917; 0.05471;yes
eh eh;843; 0.05030;yes
che poi;825; 0.04922;yes
per esempio;797; 0.04755;yes
per me;759; 0.04529;yes
sì ma;741; 0.04421;yes
questo è;735; 0.04385;yes
diciamo che;645; 0.03848;yes
se no;637; 0.03801;yes
in questo;627; 0.03741;yes
e allora;607; 0.03622;yes
e invece;575; 0.03431;yes
eh ma;564; 0.03365;yes
eh no;550; 0.03282;yes
ci sta;538; 0.03210;yes
a parte;537; 0.03204;yes
ma anche;534; 0.03186;yes
ad esempio;529; 0.03156;yes
eh mh;481; 0.02870;yes
poi dopo;480; 0.02864;yes
ho visto;478; 0.02852;yes
ma poi;472; 0.02816;yes
ah sì;471; 0.02810;yes
sì no;451; 0.02691;yes
anche perché;392; 0.02339;yes
come dire;389; 0.02321;yes
mi sembra;388; 0.02315;yes
in generale;387; 0.02309;yes
può essere;386; 0.02303;yes
ah beh;384; 0.02291;yes
per dire;363; 0.02166;yes
solo che;354; 0.02112;yes
no però;350; 0.02088;yes
no vabbè;339; 0.02023;yes
sì eh;328; 0.01957;yes
anche lì;326; 0.01945;yes
ma no;325; 0.01939;yes
okay okay;323; 0.01927;yes
per quanto;309; 0.01844;yes
perché poi;305; 0.01820;yes
eh beh;303; 0.01808;yes
in più;297; 0.01772;yes
mi sa;290; 0.01730;yes
anche perchè;287; 0.01712;yes
ah no;282; 0.01683;yes
ma sì;278; 0.01659;yes
ma infatti;276; 0.01647;yes
si vede;273; 0.01629;yes
guarda che;268; 0.01599;yes
ti dico;256; 0.01527;yes
tra l''altro;256; 0.01527;yes
un attimo;253; 0.01510;yes
eh vabbè;252; 0.01504;yes
devo dire;248; 0.01480;yes
no eh;248; 0.01480;yes
eh cioè;240; 0.01432;yes
vabbè ma;238; 0.01420;yes
eh infatti;237; 0.01414;yes
e basta;232; 0.01384;yes
si dice;227; 0.01354;yes
se vuoi;226; 0.01348;yes
perché comunque;225; 0.01342;yes
sì esatto;219; 0.01307;yes
sì che;218; 0.01301;yes
voglio dire;213; 0.01271;yes
no infatti;212; 0.01265;yes
sì infatti;211; 0.01259;yes
quindi sì;210; 0.01253;yes
perchè comunque;209; 0.01247;yes
perchè poi;206; 0.01229;yes
beh sì;200; 0.01193;yes
a posto;193; 0.01152;yes
però comunque;192; 0.01146;yes
e così;191; 0.01140;yes
eh quindi;189; 0.01128;yes
ah ma;184; 0.01098;yes
però poi;181; 0.01080;yes
no perchè;180; 0.01074;yes
e adesso;179; 0.01068;yes
lo sai;178; 0.01062;yes
no sì;178; 0.01062;yes
come come;177; 0.01056;yes
e infatti;171; 0.01020;yes
e niente;171; 0.01020;yes
però eh;171; 0.01020;yes
eh perché;170; 0.01014;yes
in effetti;169; 0.01008;yes
e comunque;168; 0.01002;yes
eh certo;168; 0.01002;yes
no cioè;168; 0.01002;yes
è chiaro;167; 0.00996;yes
eh allora;167; 0.00996;yes
e dopo;166; 0.00990;yes
sì perchè;165; 0.00984;yes
mi pare;164; 0.00978;yes
che tipo;163; 0.00973;yes
e però;162; 0.00967;yes
mh no;161; 0.00961;yes
mh sì;161; 0.00961;yes
poi vabbè;161; 0.00961;yes
quello sì;161; 0.00961;yes
okay quindi;159; 0.00949;yes
per carità;154; 0.00919;yes
in particolare;152; 0.00907;yes
ah sì?;151; 0.00901;yes
deve essere;151; 0.00901;yes
si si;150; 0.00895;yes
cioè proprio;149; 0.00889;yes
eh poi;149; 0.00889;yes
sì certo;148; 0.00883;yes
non credo;146; 0.00871;yes
va bene?;146; 0.00871;yes
non dico;145; 0.00865;yes
sì poi;145; 0.00865;yes
poi magari;144; 0.00859;yes
sì cioè;144; 0.00859;yes
che cazzo;142; 0.00847;yes
eccetera eccetera;139; 0.00829;yes
poi eh;137; 0.00817;yes
esatto esatto;134; 0.00800;yes
mh eh;134; 0.00800;yes
beh ma;131; 0.00782;yes
vedi che;130; 0.00776;yes
ah eh;129; 0.00770;yes
in fondo;129; 0.00770;yes
eh anche;127; 0.00758;yes
quindi cioè;127; 0.00758;yes
ah quindi;126; 0.00752;yes
cioè tipo;126; 0.00752;yes
quindi eh;126; 0.00752;yes
chiaro che;125; 0.00746;yes
mh cioè;125; 0.00746;yes
però cioè;123; 0.00734;yes
certo certo;122; 0.00728;yes
è giusto;122; 0.00728;yes
io penso;119; 0.00710;yes
quindi si;119; 0.00710;yes
ah ecco;118; 0.00704;yes
capito che;117; 0.00698;yes
in teoria;117; 0.00698;yes
però mh;117; 0.00698;yes
no allora;116; 0.00692;yes
quindi diciamo;116; 0.00692;yes
quindi comunque;114; 0.00680;yes
si sa;114; 0.00680;yes
che dici;113; 0.00674;yes
no certo;113; 0.00674;yes
la verità;112; 0.00668;yes
al massimo;110; 0.00656;yes
e vabbè;110; 0.00656;yes
hai capito?;110; 0.00656;yes
quindi questo;110; 0.00656;yes
io dico;109; 0.00650;yes
eh perchè;108; 0.00644;yes
ma ma;108; 0.00644;yes
ma quindi;108; 0.00644;yes
stessa cosa;108; 0.00644;yes
ma comunque;106; 0.00632;yes
eh diciamo;105; 0.00626;yes
un momento;104; 0.00621;yes
no beh;103; 0.00615;yes
e tipo;102; 0.00609;yes
d'' accordo;101; 0.00603;yes
di sicuro;101; 0.00603;yes
nel caso;101; 0.00603;yes
cioè ma;100; 0.00597;yes
hai capito;100; 0.00597;yes
però insomma;100; 0.00597;yes
