token;type;SegnaleDisc;Macrofunzione;Tipo di interazione;Microfunzione
direi_1;direi;Non_SD;;pasto;
direi_2;direi;SD;Metatestuale;intervista semistrutturata;Riformulazione
direi_3;direi;Non_SD;;intervista semistrutturata;
direi_4;direi;Non_SD;;intervista semistrutturata;
direi_5;direi;Non_SD;;intervista semistrutturata;
direi_6;direi;Non_SD;;esame;
direi_7;direi;Non_SD;;esame;
direi_8;direi;Non_SD;;esame;
direi_9;direi;Non_SD;;esame;
direi_10;direi;Non_SD;;conversazione libera;
direi_11;direi;SD;Cognitiva;intervista semistrutturata;Intensificazione
direi_12;direi;Non_SD;;intervista semistrutturata;
direi_13;direi;Non_SD;;intervista semistrutturata;
direi_14;direi;Non_SD;;intervista semistrutturata;
direi_15;direi;SD;Metatestuale;intervista semistrutturata;Esemplificazione
direi_16;direi;SD;Cognitiva;intervista semistrutturata;Approssimazione
direi_17;direi;SD;Cognitiva;intervista semistrutturata;Attenuazione
direi_18;direi;Non_SD;;intervista semistrutturata;
direi_19;direi;Non_SD;;intervista semistrutturata;
direi_20;direi;Non_SD;;intervista semistrutturata;
direi_21;direi;Non_SD;;intervista semistrutturata;
direi_22;direi;Non_SD;;intervista semistrutturata;
direi_23;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_24;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_25;direi;Non_SD;;intervista semistrutturata;
direi_26;direi;Non_SD;;intervista semistrutturata;
direi_27;direi;Non_SD;;intervista semistrutturata;
direi_28;direi;SD;Cognitiva;pasto;Attenuazione
direi_29;direi;SD;Cognitiva;lezione;Intensificazione
direi_30;direi;Non_SD;;pasto;
direi_31;direi;Non_SD;;pasto;
direi_32;direi;Non_SD;;pasto;
direi_33;direi;Non_SD;;intervista semistrutturata;
direi_34;direi;Non_SD;;intervista semistrutturata;
direi_35;direi;Non_SD;;intervista semistrutturata;
direi_36;direi;Non_SD;;intervista semistrutturata;
direi_37;direi;Non_SD;;intervista semistrutturata;
direi_38;direi;Non_SD;;intervista semistrutturata;
direi_39;direi;SD;Cognitiva;intervista semistrutturata;Approssimazione
direi_40;direi;SD;Cognitiva;intervista semistrutturata;Attenuazione
direi_41;direi;SD;Cognitiva;intervista semistrutturata;Approssimazione
direi_42;direi;Non_SD;;intervista semistrutturata;
direi_43;direi;Non_SD;;intervista semistrutturata;
direi_44;direi;Non_SD;;intervista semistrutturata;
direi_45;direi;Non_SD;;intervista semistrutturata;
direi_46;direi;SD;Metatestuale;intervista semistrutturata;Filler, riempimento dei tempi di formulazione
direi_47;direi;SD;Metatestuale;conversazione libera;Filler, riempimento dei tempi di formulazione
direi_48;direi;SD;Metatestuale;intervista semistrutturata;Gestione del topic: introduzione o ripresa di topic & Filler, riempimento dei tempi di formulazione
direi_49;direi;Non_SD;;intervista semistrutturata;
direi_50;direi;SD;Metatestuale;intervista semistrutturata;Gestione del topic: introduzione o ripresa di topic & Filler, riempimento dei tempi di formulazione
direi_51;direi;SD;Metatestuale;intervista semistrutturata;Gestione del topic: introduzione o ripresa di topic & Filler, riempimento dei tempi di formulazione
direi_52;direi;Non_SD;;intervista semistrutturata;
direi_53;direi;Non_SD;;intervista semistrutturata;
direi_54;direi;Non_SD;;intervista semistrutturata;
direi_55;direi;SD;Interazionale & Cognitiva;intervista semistrutturata;Richiesta di accordo/conferma & Modulazione del grado di confidenza del parlante
direi_56;direi;Non_SD;;intervista semistrutturata;
direi_57;direi;Non_SD;;intervista semistrutturata;
direi_58;direi;Non_SD;;intervista semistrutturata;
direi_59;direi;SD;Metatestuale;intervista semistrutturata;Filler, riempimento dei tempi di formulazione
direi_60;direi;Non_SD;;intervista semistrutturata;
direi_61;direi;SD;Metatestuale;intervista semistrutturata;Riformulazione
direi_62;direi;Non_SD;;intervista semistrutturata;
direi_63;direi;SD;Metatestuale;intervista semistrutturata;Filler, riempimento dei tempi di formulazione
direi_64;direi;Non_SD;;intervista semistrutturata;
direi_65;direi;SD;Cognitiva;ricevimento studenti;Specificazione & Attenuazione
direi_66;direi;Non_SD;;ricevimento studenti;
direi_67;direi;Non_SD;;ricevimento studenti;
direi_68;direi;Non_SD;;ricevimento studenti;
direi_69;direi;Non_SD;;ricevimento studenti;
direi_70;direi;SD;Interazionale;intervista semistrutturata;Manifestazione di accordo
direi_71;direi;Non_SD;;intervista semistrutturata;
direi_72;direi;SD;Cognitiva;intervista semistrutturata;Attenuazione
direi_73;direi;Non_SD;;intervista semistrutturata;
direi_74;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_75;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_76;direi;Non_SD;;intervista semistrutturata;
direi_77;direi;SD;Metatestuale & Cognitiva;intervista semistrutturata;Filler, riempimento dei tempi di formulazione & Modulazione del grado di confidenza del parlante
direi_78;direi;Non_SD;;intervista semistrutturata;
direi_79;direi;Non_SD;;intervista semistrutturata;
direi_80;direi;SD;Cognitiva;lezione;Marcatura dell'inferenza & Modulazione del grado di confidenza del parlante
direi_81;direi;Non_SD;;pasto;
direi_82;direi;Non_SD;;pasto;
direi_83;direi;Non_SD;;intervista semistrutturata;
direi_84;direi;Non_SD;;intervista semistrutturata;
direi_85;direi;Non_SD;;intervista semistrutturata;
direi_86;direi;Non_SD;;intervista semistrutturata;
direi_87;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_88;direi;Non_SD;;intervista semistrutturata;
direi_89;direi;Non_SD;;intervista semistrutturata;
direi_90;direi;Non_SD;;intervista semistrutturata;
direi_91;direi;Non_SD;;intervista semistrutturata;
direi_92;direi;SD;Cognitiva;pasto;Attenuazione
direi_93;direi;Non_SD;;intervista semistrutturata;
direi_94;direi;Non_SD;;esame;
direi_95;direi;Non_SD;;esame;
direi_96;direi;Non_SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_97;direi;Non_SD;;intervista semistrutturata;
direi_98;direi;Non_SD;;intervista semistrutturata;
direi_99;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_100;direi;Non_SD;;intervista semistrutturata;
direi_101;direi;SD;Cognitiva;lezione;Modulazione del grado di confidenza del parlante
direi_102;direi;Non_SD;;lezione;
direi_103;direi;Non_SD;;pasto;
direi_104;direi;SD;Metatestuale & Cognitiva;intervista semistrutturata;Riformulazione & Modulazione del grado di confidenza del parlante
direi_105;direi;SD;Cognitiva;intervista semistrutturata;Attenuazione
direi_106;direi;Non_SD;;intervista semistrutturata;
direi_107;direi;Non_SD;;intervista semistrutturata;
direi_108;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_109;direi;SD;Metatestuale;intervista semistrutturata;Filler, riempimento dei tempi di formulazione
direi_110;direi;Non_SD;;intervista semistrutturata;
direi_111;direi;Non_SD;;esame;
direi_112;direi;Non_SD;;intervista semistrutturata;
direi_113;direi;Non_SD;;intervista semistrutturata;
direi_114;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_115;direi;Non_SD;;pasto;
direi_116;direi;Non_SD;;pasto;
direi_117;direi;SD;Cognitiva;lezione;Modulazione del grado di confidenza del parlante
direi_118;direi;Non_SD;;lezione;
direi_119;direi;Non_SD;;lezione;
direi_120;direi;Non_SD;;intervista semistrutturata;
direi_121;direi;SD;;intervista semistrutturata;#CALC!
direi_122;direi;Non_SD;;intervista semistrutturata;
direi_123;direi;Non_SD;;intervista semistrutturata;
direi_124;direi;Non_SD;;intervista semistrutturata;
direi_125;direi;Non_SD;;intervista semistrutturata;
direi_126;direi;Dubbio;;intervista semistrutturata;
direi_127;direi;Non_SD;;intervista semistrutturata;
direi_128;direi;Non_SD;;intervista semistrutturata;
direi_129;direi;Non_SD;;intervista semistrutturata;
direi_130;direi;Non_SD;;intervista semistrutturata;
direi_131;direi;Non_SD;;intervista semistrutturata;
direi_132;direi;Non_SD;;intervista semistrutturata;
direi_133;direi;Non_SD;;intervista semistrutturata;
direi_134;direi;Non_SD;;intervista semistrutturata;
direi_135;direi;Non_SD;;intervista semistrutturata;
direi_136;direi;Non_SD;;intervista semistrutturata;
direi_137;direi;Dubbio;;intervista semistrutturata;
direi_138;direi;Non_SD;;intervista semistrutturata;
direi_139;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_140;direi;SD;Metatestuale;intervista semistrutturata;Riformulazione & Esemplificazione
direi_141;direi;SD;Cognitiva;intervista semistrutturata;Specificazione & Attenuazione
direi_142;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_143;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_144;direi;Non_SD;;lezione;
direi_145;direi;Non_SD;;conversazione libera;
direi_146;direi;Non_SD;;conversazione libera;
direi_147;direi;Non_SD;;intervista semistrutturata;
direi_148;direi;Non_SD;;conversazione libera;
direi_149;direi;Non_SD;;conversazione libera;
direi_150;direi;Non_SD;;conversazione libera;
direi_151;direi;Non_SD;;conversazione libera;
direi_152;direi;Non_SD;;conversazione libera;
direi_153;direi;SD;Cognitiva;conversazione libera;Intensificazione
direi_154;direi;Non_SD;;intervista semistrutturata;
direi_155;direi;Non_SD;;intervista semistrutturata;
direi_156;direi;Non_SD;;intervista semistrutturata;
direi_157;direi;Non_SD;;intervista semistrutturata;
direi_158;direi;Non_SD;;intervista semistrutturata;
direi_159;direi;SD;Cognitiva;conversazione libera;Intensificazione
direi_160;direi;SD;Cognitiva;conversazione libera;Intensificazione
direi_161;direi;Non_SD;;ricevimento studenti;
direi_162;direi;Non_SD;;ricevimento studenti;
direi_163;direi;Non_SD;;ricevimento studenti;
direi_164;direi;SD;Cognitiva;ricevimento studenti;Intensificazione
direi_165;direi;Non_SD;;ricevimento studenti;
direi_166;direi;SD;Cognitiva;ricevimento studenti;Modulazione del grado di confidenza del parlante
direi_167;direi;SD;Metatestuale;ricevimento studenti;Filler, riempimento dei tempi di formulazione
direi_168;direi;SD;Metatestuale;ricevimento studenti;Gestione del topic: introduzione o ripresa di topic & Prolettico, marca di formulazione: ecco & Filler, riempimento dei tempi di formulazione
direi_169;direi;Non_SD;;ricevimento studenti;
direi_170;direi;Non_SD;;ricevimento studenti;
direi_171;direi;Non_SD;;ricevimento studenti;
direi_172;direi;Non_SD;;ricevimento studenti;
direi_173;direi;Non_SD;;ricevimento studenti;
direi_174;direi;SD;Cognitiva;ricevimento studenti;Modulazione del grado di confidenza del parlante
direi_175;direi;Non_SD;;pasto;
direi_176;direi;Non_SD;;intervista semistrutturata;
direi_177;direi;Non_SD;;intervista semistrutturata;
direi_178;direi;SD;Cognitiva;intervista semistrutturata;Specificazione
direi_179;direi;Non_SD;;intervista semistrutturata;
direi_180;direi;Non_SD;;intervista semistrutturata;
direi_181;direi;Non_SD;;intervista semistrutturata;
direi_182;direi;SD;Metatestuale;intervista semistrutturata;Filler, riempimento dei tempi di formulazione
direi_183;direi;Non_SD;;intervista semistrutturata;
direi_184;direi;Non_SD;;intervista semistrutturata;
direi_185;direi;Non_SD;;ricevimento studenti;
direi_186;direi;Non_SD;;intervista semistrutturata;
direi_187;direi;Non_SD;;esame;
direi_188;direi;Non_SD;;esame;
direi_189;direi;Non_SD;;lezione;
direi_190;direi;SD;Cognitiva;lezione;Modulazione del grado di confidenza del parlante
direi_191;direi;SD;Metatestuale & Cognitiva;lezione;Riformulazione & Intensificazione
direi_192;direi;Non_SD;;lezione;
direi_193;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante & Approssimazione
direi_194;direi;SD;Metatestuale;intervista semistrutturata;Gestione del topic: introduzione o ripresa di topic
direi_195;direi;Non_SD;;intervista semistrutturata;
direi_196;direi;SD;Cognitiva;intervista semistrutturata;Intensificazione
direi_197;direi;Non_SD;;intervista semistrutturata;
direi_198;direi;Non_SD;;intervista semistrutturata;
direi_199;direi;Non_SD;;intervista semistrutturata;
direi_200;direi;Non_SD;;intervista semistrutturata;
direi_201;direi;SD;Metatestuale;intervista semistrutturata;Filler, riempimento dei tempi di formulazione
direi_202;direi;SD;Cognitiva;intervista semistrutturata;Attenuazione
direi_203;direi;SD;Cognitiva;intervista semistrutturata;Approssimazione
direi_204;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_205;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_206;direi;Non_SD;;intervista semistrutturata;
direi_207;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_208;direi;SD;Metatestuale;intervista semistrutturata;Filler, riempimento dei tempi di formulazione
direi_209;direi;Non_SD;;intervista semistrutturata;
direi_210;direi;Non_SD;;intervista semistrutturata;
direi_211;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_212;direi;Non_SD;;intervista semistrutturata;
direi_213;direi;Non_SD;;intervista semistrutturata;
direi_214;direi;Non_SD;;intervista semistrutturata;
direi_215;direi;Non_SD;;intervista semistrutturata;
direi_216;direi;Non_SD;;intervista semistrutturata;
direi_217;direi;Non_SD;;pasto;
direi_218;direi;SD;Interazionale;pasto;Manifestazione di accordo
direi_219;direi;Non_SD;;intervista semistrutturata;
direi_220;direi;Non_SD;;intervista semistrutturata;
direi_221;direi;Non_SD;;intervista semistrutturata;
direi_222;direi;Non_SD;;intervista semistrutturata;
direi_223;direi;Non_SD;;intervista semistrutturata;
direi_224;direi;Non_SD;;intervista semistrutturata;
direi_225;direi;Non_SD;;intervista semistrutturata;
direi_226;direi;Non_SD;;conversazione libera;
direi_227;direi;Non_SD;;conversazione libera;
direi_228;direi;Non_SD;;ricevimento studenti;
direi_229;direi;Non_SD;;ricevimento studenti;
direi_230;direi;Non_SD;;ricevimento studenti;
direi_231;direi;Non_SD;;ricevimento studenti;
direi_232;direi;SD;Metatestuale;ricevimento studenti;Filler, riempimento dei tempi di formulazione
direi_233;direi;Non_SD;;intervista semistrutturata;
direi_234;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante & Approssimazione
direi_235;direi;Non_SD;;intervista semistrutturata;
direi_236;direi;Non_SD;;intervista semistrutturata;
direi_237;direi;Non_SD;;lezione;
direi_238;direi;Non_SD;;intervista semistrutturata;
direi_239;direi;Non_SD;;intervista semistrutturata;
direi_240;direi;Non_SD;;pasto;
direi_241;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_242;direi;SD;Cognitiva;esame;Modulazione del grado di confidenza del parlante
direi_243;direi;SD;Cognitiva;esame;Modulazione del grado di confidenza del parlante
direi_244;direi;Non_SD;;esame;
direi_245;direi;Non_SD;;intervista semistrutturata;
direi_246;direi;SD;Cognitiva;lezione;Intensificazione
direi_247;direi;Non_SD;;pasto;
direi_248;direi;Non_SD;;pasto;
direi_249;direi;Non_SD;;pasto;
direi_250;direi;Non_SD;;intervista semistrutturata;
direi_251;direi;Non_SD;;pasto;
direi_252;direi;Non_SD;;intervista semistrutturata;
direi_253;direi;Non_SD;;ricevimento studenti;
direi_254;direi;Non_SD;;ricevimento studenti;
direi_255;direi;Non_SD;;ricevimento studenti;
direi_256;direi;Non_SD;;ricevimento studenti;
direi_257;direi;Non_SD;;ricevimento studenti;
direi_258;direi;Non_SD;;ricevimento studenti;
direi_259;direi;Non_SD;;ricevimento studenti;
direi_260;direi;Non_SD;;ricevimento studenti;
direi_261;direi;Non_SD;;ricevimento studenti;
direi_262;direi;Non_SD;;ricevimento studenti;
direi_263;direi;Non_SD;;ricevimento studenti;
direi_264;direi;Non_SD;;ricevimento studenti;
direi_265;direi;Non_SD;;conversazione libera;
direi_266;direi;Non_SD;;conversazione libera;
direi_267;direi;Non_SD;;conversazione libera;
direi_268;direi;Non_SD;;conversazione libera;
direi_269;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_270;direi;Non_SD;;intervista semistrutturata;
direi_271;direi;Non_SD;;intervista semistrutturata;
direi_272;direi;Non_SD;;intervista semistrutturata;
direi_273;direi;Non_SD;;intervista semistrutturata;
direi_274;direi;SD;Cognitiva;intervista semistrutturata;Intensificazione
direi_275;direi;Non_SD;;ricevimento studenti;
direi_276;direi;Non_SD;;ricevimento studenti;
direi_277;direi;Non_SD;;intervista semistrutturata;
